horizon,lookback,split_strategy,seed,train_start_date,train_end_date,train_max_target_date,validation_start_date,validation_end_date,test_start_date,test_end_date,prediction_anchor_date,prediction_target_date,n_train,n_predictions,fixed_split_threshold_source,threshold_calibration_max_target_date,n_threshold_samples,selected_feature_count,selected_columns_hash
10,20,chronological_712,2024,2016-07-26,2023-06-19,2023-07-05,2023-07-06,2024-06-18,2024-07-03,2026-06-11,2024-07-03,2024-07-17,1677,470,validation,2024-07-02,230,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
10,20,chronological_712,3407,2016-07-26,2023-06-19,2023-07-05,2023-07-06,2024-06-18,2024-07-03,2026-06-11,2024-07-03,2024-07-17,1677,470,validation,2024-07-02,230,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
15,5,chronological_712,42,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
15,5,chronological_712,2024,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
15,5,chronological_712,3407,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
15,10,chronological_712,42,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
15,10,chronological_712,2024,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
15,10,chronological_712,3407,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
15,15,chronological_712,42,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
15,15,chronological_712,2024,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
15,15,chronological_712,3407,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
15,20,chronological_712,42,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
15,20,chronological_712,2024,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
15,20,chronological_712,3407,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
20,5,chronological_712,42,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
20,5,chronological_712,2024,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
20,5,chronological_712,3407,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
20,10,chronological_712,42,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
20,10,chronological_712,2024,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
20,10,chronological_712,3407,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
20,15,chronological_712,42,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
20,15,chronological_712,2024,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
20,15,chronological_712,3407,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
20,20,chronological_712,42,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
20,20,chronological_712,2024,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
20,20,chronological_712,3407,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
