horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,hidden_size,learning_rate
10,20,chronological_712,42,59.96435411575496,1480,7,64,0.001
10,20,chronological_712,42,56.02603224085877,1480,8,64,0.0005
10,20,chronological_712,2024,60.36977515411516,1480,3,32,0.001
10,20,chronological_712,2024,69.656833400764,1480,14,32,0.0005
10,20,chronological_712,2024,54.474316084044915,1480,6,64,0.001
10,20,chronological_712,2024,54.53318690936463,1480,6,64,0.0005
10,20,chronological_712,3407,75.69317282037916,1480,9,32,0.001
10,20,chronological_712,3407,80.01847967258442,1480,14,32,0.0005
10,20,chronological_712,3407,61.97550011157793,1480,4,64,0.001
10,20,chronological_712,3407,63.582810402720305,1480,5,64,0.0005
15,5,chronological_712,42,69.22782786161241,370,5,32,0.001
15,5,chronological_712,42,77.64271514445421,370,12,32,0.0005
15,5,chronological_712,42,71.21635327010036,370,5,64,0.001
15,5,chronological_712,42,67.54926723168151,370,6,64,0.0005
15,5,chronological_712,2024,76.6392884199662,370,3,32,0.001
15,5,chronological_712,2024,83.68767642755911,370,9,32,0.0005
15,5,chronological_712,2024,66.11645274469292,370,6,64,0.001
15,5,chronological_712,2024,66.04542125265559,370,9,64,0.0005
15,5,chronological_712,3407,80.66229501490564,370,6,32,0.001
15,5,chronological_712,3407,81.1224112068682,370,11,32,0.0005
15,5,chronological_712,3407,65.8369077980099,370,4,64,0.001
15,5,chronological_712,3407,67.9150895829527,370,7,64,0.0005
15,10,chronological_712,42,65.55083523360757,740,5,32,0.001
15,10,chronological_712,42,77.68847783873716,740,11,32,0.0005
15,10,chronological_712,42,71.58307513598018,740,5,64,0.001
15,10,chronological_712,42,67.49340651673312,740,6,64,0.0005
15,10,chronological_712,2024,72.03109273524747,740,3,32,0.001
15,10,chronological_712,2024,82.69985842401907,740,5,32,0.0005
15,10,chronological_712,2024,62.105820884322235,740,4,64,0.001
15,10,chronological_712,2024,64.54887134544673,740,6,64,0.0005
15,10,chronological_712,3407,80.26973867495926,740,7,32,0.001
15,10,chronological_712,3407,83.7520134501591,740,10,32,0.0005
15,10,chronological_712,3407,66.75998295230713,740,4,64,0.001
15,10,chronological_712,3407,67.36283363816335,740,5,64,0.0005
15,15,chronological_712,42,63.8756071684284,1110,5,32,0.001
15,15,chronological_712,42,74.95095789553892,1110,12,32,0.0005
15,15,chronological_712,42,72.64725569474658,1110,5,64,0.001
15,15,chronological_712,42,67.0045499021508,1110,6,64,0.0005
15,15,chronological_712,2024,72.04966978129002,1110,3,32,0.001
15,15,chronological_712,2024,81.55984431591814,1110,5,32,0.0005
15,15,chronological_712,2024,60.09801063750195,1110,4,64,0.001
15,15,chronological_712,2024,63.89527458928293,1110,6,64,0.0005
15,15,chronological_712,3407,79.95811147492682,1110,7,32,0.001
15,15,chronological_712,3407,82.72265104731112,1110,10,32,0.0005
15,15,chronological_712,3407,70.42686609062936,1110,4,64,0.001
15,15,chronological_712,3407,66.68412673172564,1110,5,64,0.0005
15,20,chronological_712,42,64.10110112391747,1480,5,32,0.001
15,20,chronological_712,42,73.03742830510376,1480,12,32,0.0005
15,20,chronological_712,42,72.42508737347985,1480,6,64,0.001
15,20,chronological_712,42,67.84231753466584,1480,6,64,0.0005
15,20,chronological_712,2024,72.28391942509118,1480,3,32,0.001
15,20,chronological_712,2024,79.09475340701404,1480,9,32,0.0005
15,20,chronological_712,2024,59.18544258801214,1480,4,64,0.001
15,20,chronological_712,2024,62.29876602150928,1480,6,64,0.0005
15,20,chronological_712,3407,77.38589104023175,1480,7,32,0.001
15,20,chronological_712,3407,81.45569221534954,1480,10,32,0.0005
15,20,chronological_712,3407,73.00874708254977,1480,4,64,0.001
15,20,chronological_712,3407,66.69473134905452,1480,5,64,0.0005
20,5,chronological_712,42,70.7992861759044,370,5,32,0.001
20,5,chronological_712,42,80.62126791804003,370,10,32,0.0005
20,5,chronological_712,42,73.10468173742754,370,5,64,0.001
20,5,chronological_712,42,70.66486644204265,370,7,64,0.0005
20,5,chronological_712,2024,82.02556628428735,370,4,32,0.001
20,5,chronological_712,2024,89.43400231437421,370,7,32,0.0005
20,5,chronological_712,2024,72.91334698069986,370,5,64,0.001
20,5,chronological_712,2024,69.74807087262518,370,7,64,0.0005
20,5,chronological_712,3407,79.08419491421611,370,7,32,0.001
20,5,chronological_712,3407,78.7791260431659,370,10,32,0.0005
20,5,chronological_712,3407,69.99560756164821,370,5,64,0.001
20,5,chronological_712,3407,70.41248519007243,370,7,64,0.0005
20,10,chronological_712,42,70.97066714109728,740,5,32,0.001
20,10,chronological_712,42,82.84429410707439,740,9,32,0.0005
20,10,chronological_712,42,74.82564160205517,740,4,64,0.001
20,10,chronological_712,42,74.6523496472387,740,7,64,0.0005
20,10,chronological_712,2024,80.20318444794482,740,4,32,0.001
20,10,chronological_712,2024,88.68118453216344,740,6,32,0.0005
20,10,chronological_712,2024,68.57921599263435,740,4,64,0.001
20,10,chronological_712,2024,68.2828199244715,740,5,64,0.0005
20,10,chronological_712,3407,79.42526372286889,740,5,32,0.001
20,10,chronological_712,3407,83.04621279000307,740,5,32,0.0005
20,10,chronological_712,3407,74.10612225582936,740,3,64,0.001
20,10,chronological_712,3407,69.46593430097613,740,5,64,0.0005
20,15,chronological_712,42,70.81363219909295,1110,4,32,0.001
20,15,chronological_712,42,82.05526303380645,1110,9,32,0.0005
20,15,chronological_712,42,74.07587716494405,1110,4,64,0.001
20,15,chronological_712,42,76.40306203959643,1110,7,64,0.0005
20,15,chronological_712,2024,78.30724404164374,1110,4,32,0.001
20,15,chronological_712,2024,85.68467867009869,1110,6,32,0.0005
20,15,chronological_712,2024,66.32505343888427,1110,4,64,0.001
20,15,chronological_712,2024,65.92431057862335,1110,5,64,0.0005
20,15,chronological_712,3407,78.45708534489603,1110,7,32,0.001
20,15,chronological_712,3407,81.84531444002053,1110,5,32,0.0005
20,15,chronological_712,3407,76.17664501605509,1110,2,64,0.001
20,15,chronological_712,3407,69.4874785704811,1110,5,64,0.0005
20,20,chronological_712,42,71.74537474734511,1480,4,32,0.001
20,20,chronological_712,42,82.54982202134644,1480,7,32,0.0005
20,20,chronological_712,42,76.29975585272534,1480,4,64,0.001
20,20,chronological_712,42,77.58734609105714,1480,4,64,0.0005
20,20,chronological_712,2024,78.20220675316132,1480,4,32,0.001
20,20,chronological_712,2024,83.62141464785336,1480,6,32,0.0005
20,20,chronological_712,2024,65.73789292274508,1480,5,64,0.001
20,20,chronological_712,2024,65.3101313942682,1480,5,64,0.0005
20,20,chronological_712,3407,78.30701748210092,1480,5,32,0.001
20,20,chronological_712,3407,81.01741648579063,1480,5,32,0.0005
20,20,chronological_712,3407,74.84828743196805,1480,2,64,0.001
20,20,chronological_712,3407,70.17539867006091,1480,4,64,0.0005
