horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,max_depth,learning_rate
10,20,chronological_712,2024,85.98862811972522,1480,,7,0.08
10,20,chronological_712,3407,78.37028121412784,1480,,4,0.03
10,20,chronological_712,3407,80.95284499129758,1480,,4,0.08
10,20,chronological_712,3407,87.61970400476663,1480,,7,0.03
10,20,chronological_712,3407,88.12367777111392,1480,,7,0.08
15,5,chronological_712,42,88.76011687955311,370,,4,0.03
15,5,chronological_712,42,85.75096027248343,370,,4,0.08
15,5,chronological_712,42,97.71060108608779,370,,7,0.03
15,5,chronological_712,42,94.41873363012051,370,,7,0.08
15,5,chronological_712,2024,91.8769088573013,370,,4,0.03
15,5,chronological_712,2024,92.76189916640051,370,,4,0.08
15,5,chronological_712,2024,98.9155663874762,370,,7,0.03
15,5,chronological_712,2024,96.4141708457429,370,,7,0.08
15,5,chronological_712,3407,91.14838639784658,370,,4,0.03
15,5,chronological_712,3407,91.23600406439913,370,,4,0.08
15,5,chronological_712,3407,97.83564735335322,370,,7,0.03
15,5,chronological_712,3407,95.7162155161503,370,,7,0.08
15,10,chronological_712,42,85.52607127148451,740,,4,0.03
15,10,chronological_712,42,84.12925477331157,740,,4,0.08
15,10,chronological_712,42,93.57880138478535,740,,7,0.03
15,10,chronological_712,42,97.63430626154373,740,,7,0.08
15,10,chronological_712,2024,82.27352145058056,740,,4,0.03
15,10,chronological_712,2024,83.18465785368699,740,,4,0.08
15,10,chronological_712,2024,95.05446190615892,740,,7,0.03
15,10,chronological_712,2024,94.7664381972677,740,,7,0.08
15,10,chronological_712,3407,87.11312573145348,740,,4,0.03
15,10,chronological_712,3407,84.16441461305618,740,,4,0.08
15,10,chronological_712,3407,95.97795833237312,740,,7,0.03
15,10,chronological_712,3407,95.02766993574664,740,,7,0.08
15,15,chronological_712,42,81.72181345408723,1110,,4,0.03
15,15,chronological_712,42,81.14380490803137,1110,,4,0.08
15,15,chronological_712,42,92.49574283082652,1110,,7,0.03
15,15,chronological_712,42,93.52379635797247,1110,,7,0.08
15,15,chronological_712,2024,85.2642802446996,1110,,4,0.03
15,15,chronological_712,2024,82.87606230487425,1110,,4,0.08
15,15,chronological_712,2024,92.76646877757713,1110,,7,0.03
15,15,chronological_712,2024,91.6412490384621,1110,,7,0.08
15,15,chronological_712,3407,82.0466511647987,1110,,4,0.03
15,15,chronological_712,3407,84.79962912873181,1110,,4,0.08
15,15,chronological_712,3407,92.83863348622678,1110,,7,0.03
15,15,chronological_712,3407,93.63293329874804,1110,,7,0.08
15,20,chronological_712,42,80.87305450150204,1480,,4,0.03
15,20,chronological_712,42,84.74480605351258,1480,,4,0.08
15,20,chronological_712,42,89.21075810506868,1480,,7,0.03
15,20,chronological_712,42,87.55782609147327,1480,,7,0.08
15,20,chronological_712,2024,81.07499664653997,1480,,4,0.03
15,20,chronological_712,2024,79.54909891193734,1480,,4,0.08
15,20,chronological_712,2024,89.66290060205907,1480,,7,0.03
15,20,chronological_712,2024,92.24952866734995,1480,,7,0.08
15,20,chronological_712,3407,82.0506381068254,1480,,4,0.03
15,20,chronological_712,3407,79.98229262157972,1480,,4,0.08
15,20,chronological_712,3407,88.8297067270696,1480,,7,0.03
15,20,chronological_712,3407,86.05251783647005,1480,,7,0.08
20,5,chronological_712,42,86.00198508984532,370,,4,0.03
20,5,chronological_712,42,89.62399256762184,370,,4,0.08
20,5,chronological_712,42,104.0257448359687,370,,7,0.03
20,5,chronological_712,42,104.25893635434515,370,,7,0.08
20,5,chronological_712,2024,87.4830046476339,370,,4,0.03
20,5,chronological_712,2024,88.02271195448948,370,,4,0.08
20,5,chronological_712,2024,100.79926322462416,370,,7,0.03
20,5,chronological_712,2024,107.2323274904484,370,,7,0.08
20,5,chronological_712,3407,88.61916955814524,370,,4,0.03
20,5,chronological_712,3407,82.67910050603079,370,,4,0.08
20,5,chronological_712,3407,107.07590282915909,370,,7,0.03
20,5,chronological_712,3407,106.03267544268952,370,,7,0.08
20,10,chronological_712,42,82.19922906400976,740,,4,0.03
20,10,chronological_712,42,83.38361646592271,740,,4,0.08
20,10,chronological_712,42,94.17611021408084,740,,7,0.03
20,10,chronological_712,42,95.02910558384322,740,,7,0.08
20,10,chronological_712,2024,85.1451096219624,740,,4,0.03
20,10,chronological_712,2024,86.59126331876575,740,,4,0.08
20,10,chronological_712,2024,95.47922874980104,740,,7,0.03
20,10,chronological_712,2024,90.46054175276348,740,,7,0.08
20,10,chronological_712,3407,84.53620550611446,740,,4,0.03
20,10,chronological_712,3407,86.25458471983744,740,,4,0.08
20,10,chronological_712,3407,96.98200289668344,740,,7,0.03
20,10,chronological_712,3407,102.38360479578274,740,,7,0.08
20,15,chronological_712,42,84.04666141716025,1110,,4,0.03
20,15,chronological_712,42,83.2129436465422,1110,,4,0.08
20,15,chronological_712,42,95.74177801753825,1110,,7,0.03
20,15,chronological_712,42,94.01603560561567,1110,,7,0.08
20,15,chronological_712,2024,89.26175460823659,1110,,4,0.03
20,15,chronological_712,2024,88.70176851316646,1110,,4,0.08
20,15,chronological_712,2024,92.99611685208251,1110,,7,0.03
20,15,chronological_712,2024,100.82838594757884,1110,,7,0.08
20,15,chronological_712,3407,83.1911719697896,1110,,4,0.03
20,15,chronological_712,3407,83.46505385770374,1110,,4,0.08
20,15,chronological_712,3407,92.33065409446675,1110,,7,0.03
20,15,chronological_712,3407,97.31291476333303,1110,,7,0.08
20,20,chronological_712,42,83.10565836193238,1480,,4,0.03
20,20,chronological_712,42,83.61659701444644,1480,,4,0.08
20,20,chronological_712,42,92.13433855089903,1480,,7,0.03
20,20,chronological_712,42,86.79580591752025,1480,,7,0.08
20,20,chronological_712,2024,84.1796651750965,1480,,4,0.03
20,20,chronological_712,2024,83.43923200132167,1480,,4,0.08
20,20,chronological_712,2024,95.69298442945252,1480,,7,0.03
20,20,chronological_712,2024,93.60077081761425,1480,,7,0.08
20,20,chronological_712,3407,83.53919431116336,1480,,4,0.03
20,20,chronological_712,3407,80.42874660092389,1480,,4,0.08
20,20,chronological_712,3407,94.75087593426338,1480,,7,0.03
20,20,chronological_712,3407,91.3004987445746,1480,,7,0.08
