horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,C,epsilon
15,15,chronological_712,2024,287.9812022692061,1110,,100.0,0.2
15,15,chronological_712,3407,372.82999937514074,1110,,10.0,0.05
15,15,chronological_712,3407,372.84642476760246,1110,,10.0,0.2
15,15,chronological_712,3407,288.04734895280444,1110,,100.0,0.05
15,15,chronological_712,3407,287.9812022692061,1110,,100.0,0.2
15,20,chronological_712,42,359.45931959638546,1480,,10.0,0.05
15,20,chronological_712,42,359.3510214882547,1480,,10.0,0.2
15,20,chronological_712,42,283.98737021888684,1480,,100.0,0.05
15,20,chronological_712,42,284.060623042892,1480,,100.0,0.2
15,20,chronological_712,2024,359.45931959638546,1480,,10.0,0.05
15,20,chronological_712,2024,359.3510214882547,1480,,10.0,0.2
15,20,chronological_712,2024,283.98737021888684,1480,,100.0,0.05
15,20,chronological_712,2024,284.060623042892,1480,,100.0,0.2
15,20,chronological_712,3407,359.45931959638546,1480,,10.0,0.05
15,20,chronological_712,3407,359.3510214882547,1480,,10.0,0.2
15,20,chronological_712,3407,283.98737021888684,1480,,100.0,0.05
15,20,chronological_712,3407,284.060623042892,1480,,100.0,0.2
20,5,chronological_712,42,364.3071964360606,370,,10.0,0.05
20,5,chronological_712,42,364.16231115102585,370,,10.0,0.2
20,5,chronological_712,42,280.3532503388356,370,,100.0,0.05
20,5,chronological_712,42,280.36304165741785,370,,100.0,0.2
20,5,chronological_712,2024,364.3071964360606,370,,10.0,0.05
20,5,chronological_712,2024,364.16231115102585,370,,10.0,0.2
20,5,chronological_712,2024,280.3532503388356,370,,100.0,0.05
20,5,chronological_712,2024,280.36304165741785,370,,100.0,0.2
20,5,chronological_712,3407,364.3071964360606,370,,10.0,0.05
20,5,chronological_712,3407,364.16231115102585,370,,10.0,0.2
20,5,chronological_712,3407,280.3532503388356,370,,100.0,0.05
20,5,chronological_712,3407,280.36304165741785,370,,100.0,0.2
20,10,chronological_712,42,355.3325202017059,740,,10.0,0.05
