step,date,window_id,cumulative_dir_acc,cumulative_return,rolling_12_dir_acc,rolling_12_sharpe
1,2020-01-01,0,1.0,0.0010471204188482464,1.0,0.0
2,2020-02-01,1,1.0,0.006282722513089034,1.0,5.19842009854804
3,2020-03-01,2,1.0,0.07225130890052367,1.0,2.8142634767755266
4,2020-04-01,3,1.0,0.08586387434554976,1.0,2.8171182430111794
5,2020-05-01,4,1.0,0.08795811518324625,1.0,2.447018767334661
6,2020-06-01,5,1.0,0.09424083769633529,1.0,2.3402378689237544
7,2020-07-01,6,1.0,0.216230366492147,1.0,2.5403369566410605
8,2020-08-01,7,1.0,0.24816753926701618,1.0,2.6817102942645032
9,2020-09-01,8,1.0,0.3618379694566738,1.0,3.080291513428756
10,2020-10-01,9,1.0,0.4462630947917108,1.0,3.4137894889453024
11,2020-11-01,10,1.0,0.4572990588877939,1.0,3.2295998087089637
12,2020-12-01,11,1.0,0.5362991232104308,1.0,3.4863617916464085
13,2021-01-01,12,1.0,0.5519870792461319,1.0,3.6236793653981216
14,2021-02-01,13,1.0,0.5880133084253898,1.0,3.876948941664552
15,2021-03-01,14,1.0,0.6715026649360512,1.0,3.839092984906885
16,2021-04-01,15,1.0,0.7363043646028993,1.0,4.161743887938141
17,2021-05-01,16,1.0,0.7788701869330839,1.0,4.574803841443598
18,2021-06-01,17,1.0,0.8142340728698629,1.0,4.872695232556525
19,2021-07-01,18,1.0,0.842006504142268,1.0,5.136280850826411
20,2021-08-01,19,1.0,0.9035737638998407,1.0,5.255338989268456
21,2021-09-01,20,0.9523809523809523,0.8783152459228827,0.9166666666666666,4.518730970578663
22,2021-10-01,21,0.9090909090909091,0.7985613842904427,0.8333333333333334,2.496327911796664
23,2021-11-01,22,0.9130434782608695,0.810884987228101,0.8333333333333334,2.484912891979302
24,2021-12-01,23,0.9166666666666666,0.8293703916345883,0.8333333333333334,2.1877595498092535
25,2022-01-01,24,0.92,0.8916730509305268,0.8333333333333334,2.425925196460444
26,2022-02-01,25,0.9230769230769231,0.9553449994417607,0.8333333333333334,2.5096065429104697
27,2022-03-01,26,0.9259259259259259,0.9662993131641233,0.8333333333333334,2.151233361945996
28,2022-04-01,27,0.9285714285714286,1.1075405314336586,0.8333333333333334,2.147250191057701
29,2022-05-01,28,0.9310344827586207,1.1830076529600282,0.8333333333333334,2.2309836216877637
30,2022-06-01,29,0.9333333333333333,1.2982942581419032,0.8333333333333334,2.4283443866669003
31,2022-07-01,30,0.9354838709677419,1.3892339590036333,0.8333333333333334,2.6315581838536164
32,2022-08-01,31,0.9375,1.5028791697877013,0.8333333333333334,2.706356104107948
33,2022-09-01,32,0.9393939393939394,1.524355430093352,0.9166666666666666,3.0866314497915353
34,2022-10-01,33,0.9411764705882353,1.6263128077242408,1.0,5.606564427319573
35,2022-11-01,34,0.9428571428571428,1.6472504834877273,1.0,5.655994671584465
36,2022-12-01,35,0.9166666666666666,1.5707824502645606,0.9166666666666666,3.941479320023783
37,2023-01-01,36,0.918918918918919,1.5871684573838105,0.9166666666666666,3.53384009660543
38,2023-02-01,37,0.9210526315789473,1.5917201260280467,0.9166666666666666,3.091999605450235
39,2023-03-01,38,0.9230769230769231,1.694950430660112,0.9166666666666666,3.49654120778637
40,2023-04-01,39,0.925,1.7740972861861066,0.9166666666666666,3.5120210731914145
41,2023-05-01,40,0.926829268292683,1.7856385381331745,0.9166666666666666,3.0844666029024763
42,2023-06-01,41,0.9285714285714286,1.8861458154300421,0.9166666666666666,3.0755053985926715
43,2023-07-01,42,0.9302325581395349,1.899899442849613,0.9166666666666666,2.6854168278908035
44,2023-08-01,43,0.9318181818181818,1.9191252955093892,0.9166666666666666,2.360110125988716
45,2023-09-01,44,0.9333333333333333,2.031276102691418,0.9166666666666666,2.6495640217453644
46,2023-10-01,45,0.9347826086956522,2.133933474510115,0.9166666666666666,2.633570632080234
47,2023-11-01,46,0.9361702127659575,2.1808375595953393,0.9166666666666666,2.751558215763195
48,2023-12-01,47,0.9166666666666666,2.0689168457831086,0.9166666666666666,2.5027214431862865
49,2024-01-01,48,0.9183673469387755,2.098168850529487,0.9166666666666666,2.5576145292437267
50,2024-02-01,49,0.92,2.191502807532886,0.9166666666666666,2.9610469358002613
51,2024-03-01,50,0.9215686274509803,2.2524291405767713,0.9166666666666666,2.819042480128127
52,2024-04-01,51,0.9230769230769231,2.2887917023968845,0.9166666666666666,2.6038898912326736
53,2024-05-01,52,0.9245283018867925,2.3521436363626536,0.9166666666666666,2.8635131747238414
54,2024-06-01,53,0.9259259259259259,2.455434833045973,0.9166666666666666,2.8461936434362523
55,2024-07-01,54,0.9272727272727272,2.673034954058832,0.9166666666666666,3.1107202599720516
56,2024-08-01,55,0.9285714285714286,2.693345228156137,0.9166666666666666,3.088677686877288
57,2024-09-01,56,0.9298245614035088,2.8718516485075667,0.9166666666666666,3.1018997732829696
58,2024-10-01,57,0.9310344827586207,2.9118752835258475,0.9166666666666666,2.8331915730148336
59,2024-11-01,58,0.9322033898305084,3.0597887172890577,0.9166666666666666,3.0483758788139657
60,2024-12-01,59,0.9333333333333333,3.1836657655281133,1.0,5.481273622488543
61,2025-01-01,60,0.9344262295081968,3.2850197140873405,1.0,6.010009357073607
62,2025-02-01,61,0.9354838709677419,3.3019120388472123,1.0,5.131194338683663
63,2025-03-01,62,0.9206349206349206,3.224958114941133,0.9166666666666666,3.6940195555348123
64,2025-04-01,63,0.921875,3.461450661579331,0.9166666666666666,4.001439068211
65,2025-05-01,64,0.9230769230769231,3.538404585485411,0.9166666666666666,3.9655462231237455
66,2025-06-01,65,0.9242424242424242,3.620002613135405,0.9166666666666666,3.794207016128156
67,2025-07-01,66,0.9253731343283582,3.7948555295282507,0.9166666666666666,3.930298439210268
68,2025-08-01,67,0.9264705882352942,3.9981339326594743,0.9166666666666666,4.47114722177094
69,2025-09-01,68,0.927536231884058,4.107632074497746,0.9166666666666666,4.34924422374153
70,2025-10-01,69,0.9285714285714286,4.13861631013399,0.9166666666666666,4.219156794097946
71,2025-11-01,70,0.9295774647887324,4.41364084504257,0.9166666666666666,4.142220916550523
72,2025-12-01,71,0.9305555555555556,4.457065771607083,0.9166666666666666,3.7539620931166753
73,2026-01-01,72,0.9315068493150684,4.5673838128120785,0.9166666666666666,3.6978453292839375
74,2026-02-01,73,0.9324324324324325,4.785568383195291,0.9166666666666666,4.248327258328935
75,2026-03-01,74,0.9333333333333333,4.80763199143629,1.0,5.380182082447624
76,2026-04-01,75,0.9342105263157895,4.995373391414664,1.0,5.7065520550504045
77,2026-05-01,76,0.935064935064935,5.25475295717426,1.0,5.973563307562128
78,2026-06-01,77,0.9358974358974359,5.257446649231613,1.0,5.1538031208918085
