month,is_complete_period,available_at,source_status,strict_backtest_eligible,pca_001,pca_002,pca_003,pca_004,pca_005,pca_006,pca_007,pca_008,pca_009,pca_010,pca_011,pca_012,pca_013,pca_014,pca_015,pca_016,pca_017,pca_018,pca_019,pca_020,pca_021,pca_022,pca_023,pca_024,pca_025,pca_026,pca_027,pca_028,pca_029,pca_030,pca_031,pca_032
2016-06-01,False,,legacy_unknown_provenance,False,-0.31119314,0.003043382,-0.009078081,-0.097567715,-0.05666091,0.15025705,-0.10167521,0.012491171,-0.08045557,-0.08151358,0.08465382,0.002839918,-0.11342128,0.07721375,-0.04426815,-0.00691899,-0.049936958,0.028009437,0.087323956,-0.00449902,-0.06413399,0.104342066,0.023581302,-0.11204614,0.026118467,-0.012262188,-0.09053419,0.065577,0.028060503,0.09393792,0.020661918,0.019767553
2016-07-01,True,,legacy_unknown_provenance,False,-0.25021657,0.18833618,0.061926216,-0.04639072,-0.05318729,-0.03148188,-0.14355251,0.16591369,0.031935513,-0.028402885,-0.030687945,0.08868733,-0.008300114,0.010856832,0.1504111,-0.10995224,0.110121466,0.001298868,0.026247157,-0.013344721,0.046684068,0.09237553,-0.012656121,-0.12127442,-0.020039907,0.052237578,-0.0315688,-0.07604707,0.03393105,0.011785436,0.002910239,-0.003205066
2016-08-01,True,,legacy_unknown_provenance,False,0.28079277,0.045769002,0.3280864,-0.0634074,-0.017122652,-0.04311128,-0.09855624,0.008838132,0.14108805,0.10981648,-0.06796777,-0.001098074,-0.136114,0.05678811,-0.019087886,0.039572578,-0.023674106,-0.096240856,0.10325752,0.115613386,-0.008927414,0.05322695,-0.07792288,-0.05973487,-0.059914984,-0.086106986,-0.013612016,-0.000594526,0.019778905,-0.09761841,0.087708525,0.051052026
2016-09-01,True,,legacy_unknown_provenance,False,-0.031209683,0.024498718,0.4054787,0.05825117,-0.17639954,-0.035889156,0.034574073,-0.03262359,-0.06724404,0.00355811,0.06700669,-0.001204158,-0.010354835,0.10581338,-0.042395785,0.04210127,0.084583804,0.056866318,0.1589554,-0.053845223,-0.081055276,-0.027132235,0.002602934,0.032499116,0.059813257,0.037223164,-0.045444943,-0.087405324,0.00012304,0.027948821,-0.042544812,-0.06056774
2016-10-01,True,,legacy_unknown_provenance,False,0.089832395,0.10487232,0.22389609,-0.0813289,-0.20121168,-0.13799186,-0.110135935,-0.033635926,-0.12754175,0.070464134,-0.015532881,-0.002261716,0.011626412,-0.14931755,0.07680553,-0.21250753,-0.14451326,-0.06970679,-0.01264994,-0.08654075,-0.010809795,0.12787762,0.03972223,0.08503034,-0.059745815,0.07029392,-0.031158006,0.03019176,-0.011594695,-0.09060276,-0.052579932,-0.015361451
2016-11-01,True,,legacy_unknown_provenance,False,-0.2410214,0.075181894,0.012402159,-0.004791254,-0.10076425,-0.052463025,-0.04483742,-0.13034981,-0.123220064,-0.001748837,0.13983408,0.026995827,0.01686026,-0.2723339,-0.09355716,-0.16701181,0.08677321,-0.026487922,0.004194845,0.10724172,-0.08198089,0.07884733,-0.109531604,-0.06856595,-0.020871112,-0.05013902,0.06584649,0.08257318,0.029698709,0.03206068,0.015642405,-0.049053047
2016-12-01,True,,legacy_unknown_provenance,False,0.18995349,-0.10526013,0.39645568,0.011017999,-0.16697885,0.15742925,0.1295238,-0.04617759,-0.10606623,-0.11733384,0.007158941,0.056597438,0.004934905,0.11049135,0.030652713,-0.060988568,-0.083345845,0.06914172,-0.046803445,0.008848465,-0.04015014,0.06606394,0.04092779,0.08614699,-0.028521463,0.06347415,-0.04243809,0.061747428,0.046449605,-0.10877443,0.10382537,0.034150455
2017-01-01,True,,legacy_unknown_provenance,False,0.293151,-0.21560583,0.33387432,-0.072269075,-0.055922396,0.08572544,0.1408729,-0.04452799,0.13023454,-0.08369592,-0.10310452,-0.016199037,-0.083023205,-0.0251564,0.113034874,0.03904939,0.059417658,0.054271426,0.06304805,0.06409322,-0.09847319,-0.029657891,-0.019755881,-0.050857622,-0.032869365,0.06408844,-0.03010695,0.034610398,-0.025387868,0.022801504,-0.015407098,-0.000507787
2017-02-01,True,,legacy_unknown_provenance,False,-0.32489544,0.09338348,-0.09819547,-0.058127206,-0.12428399,0.12972797,0.14864707,0.0718906,0.080811925,-0.05739609,0.00048861,-0.06960213,0.14044046,-0.031036252,0.130027,-0.008320919,-0.024200018,0.0869489,0.08742133,0.003640218,0.074238405,-0.039900895,0.042137258,-0.00899469,-0.06981937,-0.04202013,0.0589671,0.062414303,-0.08552257,-0.070133634,-0.036998782,0.026978754
2017-03-01,True,,legacy_unknown_provenance,False,0.19305544,-0.1156224,0.32724378,0.003078878,0.015653709,-0.030549027,-0.08742354,-0.11965369,0.12734847,-0.072124824,-0.057610147,-0.029861355,0.08932125,0.057160374,0.04391028,-0.07423832,0.10543438,0.19963114,-0.12376291,0.027562624,-0.12707886,-0.1150047,-0.05617303,0.06312316,-0.045682717,-0.13020164,-0.036209065,0.054674257,0.008068392,-0.047798544,0.016767666,-0.058625005
2017-04-01,True,,legacy_unknown_provenance,False,-0.34835,0.16050498,0.016474186,0.009891691,0.12006353,0.002230875,0.046537347,-0.02943533,0.010341923,0.010683321,-0.048109822,0.20964007,0.06528199,-0.14004615,0.107197866,-0.062122628,-0.0166901,0.08499324,-0.031215113,-0.017662432,-0.051665254,-0.019847777,0.019160924,0.09194672,-0.06746234,-0.027574489,-0.02468831,0.02601399,0.019918356,0.04402769,0.040688667,0.043410525
