model,feature_set,horizon,lookback,split_strategy,seed,threshold,long_count,short_count,flat_count,active_signal_rate,active_direction_accuracy,economic_metrics
xgboost,market_full_safe,5,5,chronological_811,42,0.019,21,0,222,0.08641975308641975,0.5714285714285714,"{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.013905504984837447, ""median_cumulative_return_0bp"": 0.01721723737174785, ""worst_cumulative_return_0bp"": -0.00022073805022004844, ""mean_annualized_return_0bp"": 0.014396789200726512, ""median_annualized_return_0bp"": 0.018085838540974786, ""worst_annualized_return_0bp"": -0.00022704413564034187, ""mean_sharpe_0bp"": 0.5463316505127269, ""median_sharpe_0bp"": 0.7315385459426852, ""worst_sharpe_0bp"": -0.000950941622659649, ""mean_sortino_0bp"": 1.7109556731771214, ""median_sortino_0bp"": 0.08492057315852207, ""worst_sortino_0bp"": 0.0, ""mean_calmar_0bp"": 1.6568378132094552, ""median_calmar_0bp"": 1.7032141860761456, ""worst_calmar_0bp"": -0.013887532963334228, ""mean_max_drawdown_0bp"": 0.014093263785095877, ""median_max_drawdown_0bp"": 0.01061865189289013, ""worst_max_drawdown_0bp"": 0.006849315068493178, ""mean_profit_factor_0bp"": 2.4073738995166547, ""median_profit_factor_0bp"": 2.0672406526553906, ""worst_profit_factor_0bp"": 0.9988391108459261, ""mean_win_rate_0bp"": 0.0494047619047619, ""median_win_rate_0bp"": 0.041666666666666664, ""worst_win_rate_0bp"": 0.04081632653061224, ""mean_average_win_0bp"": 0.012967599381638304, ""median_average_win_0bp"": 0.013109148504008239, ""worst_average_win_0bp"": 0.008164897363863166, ""mean_average_loss_0bp"": -0.00968417913675201, ""median_average_loss_0bp"": -0.009512062725137549, ""worst_average_loss_0bp"": -0.016348773841961872, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 2.8, ""median_turnover_0bp"": 3.0, ""worst_turnover_0bp"": 2.0, ""mean_cumulative_return_2bp"": 0.013338665465897038, ""median_cumulative_return_2bp"": 0.01660948125378181, ""worst_cumulative_return_2bp"": -0.0006215012313548485, ""mean_annualized_return_2bp"": 0.013808271638138737, ""median_annualized_return_2bp"": 0.017447159248139332, ""worst_annualized_return_2bp"": -0.0006392527325382868, ""mean_sharpe_2bp"": 0.52606533523647, ""median_sharpe_2bp"": 0.7119189662050247, ""worst_sharpe_2bp"": -0.02094601928618887, ""mean_sortino_2bp"": 0.5218136679427079, ""median_sortino_2bp"": 0.5505456635080428, ""worst_sortino_2bp"": -0.0064311257815593825, ""mean_calmar_2bp"": 1.5664895021323617, ""median_calmar_2bp"": 1.598339465782671, ""worst_calmar_2bp"": -0.03886324528990196, ""mean_max_drawdown_2bp"": 0.014291066228812533, ""median_max_drawdown_2bp"": 0.01091580332066433, ""worst_max_drawdown_2bp"": 0.007048620136986261, ""mean_profit_factor_2bp"": 2.3020816949941034, ""median_profit_factor_2bp"": 2.014373600097943, ""worst_profit_factor_2bp"": 0.9748342359495847, ""mean_win_rate_2bp"": 0.0494047619047619, ""median_win_rate_2bp"": 0.041666666666666664, ""worst_win_rate_2bp"": 0.04081632653061224, ""mean_average_win_2bp"": 0.012897599381638303, ""median_average_win_2bp"": 0.013042481837341573, ""worst_average_win_2bp"": 0.008114897363863166, ""mean_average_loss_2bp"": -0.003746646853234728, ""median_average_loss_2bp"": -0.003884825090055019, ""worst_average_loss_2bp"": -0.005549591280653957, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 2.8, ""median_turnover_2bp"": 3.0, ""worst_turnover_2bp"": 2.0, ""mean_cumulative_return_5bp"": 0.012488906076268912, ""median_cumulative_return_5bp"": 0.015698414457104404, ""worst_cumulative_return_5bp"": -0.001222420084540099, ""mean_annualized_return_5bp"": 0.012926038680556085, ""median_annualized_return_5bp"": 0.016489772320755325, ""worst_annualized_return_5bp"": -0.0012573244067524136, ""mean_sharpe_5bp"": 0.49546422595710427, ""median_sharpe_5bp"": 0.6822038016634042, ""worst_sharpe_5bp"": -0.050763970190429275, ""mean_sortino_5bp"": 0.4987729784186243, ""median_sortino_5bp"": 0.5297381414225836, ""worst_sortino_5bp"": -0.015640834184270855, ""mean_calmar_5bp"": 1.4383388362560752, ""median_calmar_5bp"": 1.4513831831510235, ""worst_calmar_5bp"": -0.07574802926550434, ""mean_max_drawdown_5bp"": 0.014587717944553758, ""median_max_drawdown_5bp"": 0.01136141889487463, ""worst_max_drawdown_5bp"": 0.007347540239725947, ""mean_profit_factor_5bp"": 2.16046467572676, ""median_profit_factor_5bp"": 1.9390332730606865, ""worst_profit_factor_5bp"": 0.940406304940131, ""mean_win_rate_5bp"": 0.0494047619047619, ""median_win_rate_5bp"": 0.041666666666666664, ""worst_win_rate_5bp"": 0.04081632653061224, ""mean_average_win_5bp"": 0.012792599381638303, ""median_average_win_5bp"": 0.012942481837341572, ""worst_average_win_5bp"": 0.008039897363863166, ""mean_average_loss_5bp"": -0.0038796468532347286, ""median_average_loss_5bp"": -0.00400482509005502, ""worst_average_loss_5bp"": -0.005699591280653958, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 2.8, ""median_turnover_5bp"": 3.0, ""worst_turnover_5bp"": 2.0, ""mean_cumulative_return_10bp"": 0.011073972617770812, ""median_cumulative_return_10bp"": 0.01418148180555745, ""worst_cumulative_return_10bp"": -0.0022233492584043946, ""mean_annualized_return_10bp"": 0.011457098473383965, ""median_annualized_return_10bp"": 0.014895811603983455, ""worst_annualized_return_10bp"": -0.002286800834599867, ""mean_sharpe_10bp"": 0.44394534294984556, ""median_sharpe_10bp"": 0.6319336843845206, ""worst_sharpe_10bp"": -0.09995855626887573, ""mean_sortino_10bp"": 0.4595868271057822, ""median_sortino_10bp"": 0.49416930877903176, ""worst_sortino_10bp"": -0.03099034818878992, ""mean_calmar_10bp"": 1.242139166076737, ""median_calmar_10bp"": 1.2306708890507922, ""worst_calmar_10bp"": -0.13572505964229853, ""mean_max_drawdown_10bp"": 0.01508199895772322, ""median_max_drawdown_10bp"": 0.012103814055009043, ""worst_max_drawdown_10bp"": 0.00784564041095881, ""mean_profit_factor_10bp"": 1.9591452566348018, ""median_profit_factor_10bp"": 1.8230221087043221, ""worst_profit_factor_10bp"": 0.8868841561828191, ""mean_win_rate_10bp"": 0.0494047619047619, ""median_win_rate_10bp"": 0.041666666666666664, ""worst_win_rate_10bp"": 0.04081632653061224, ""mean_average_win_10bp"": 0.012617599381638303, ""median_average_win_10bp"": 0.012775815170674906, ""worst_average_win_10bp"": 0.007914897363863166, ""mean_average_loss_10bp"": -0.004101313519901396, ""median_average_loss_10bp"": -0.00420482509005502, ""worst_average_loss_10bp"": -0.005949591280653958, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 2.8, ""median_turnover_10bp"": 3.0, ""worst_turnover_10bp"": 2.0}"
xgboost,market_full_safe,5,5,chronological_811,2024,0.019,35,0,208,0.1440329218106996,0.6,"{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.010489337632649743, ""median_cumulative_return_0bp"": 0.01444564717912078, ""worst_cumulative_return_0bp"": -0.019292604501607413, ""mean_annualized_return_0bp"": 0.010952140322648218, ""median_annualized_return_0bp"": 0.015173382419229497, ""worst_annualized_return_0bp"": -0.019838318149438927, ""mean_sharpe_0bp"": 0.42874853096272575, ""median_sharpe_0bp"": 0.5499161739511089, ""worst_sharpe_0bp"": -0.3625852103947413, ""mean_sortino_0bp"": 0.39934604319354844, ""median_sortino_0bp"": 0.26753239167033627, ""worst_sortino_0bp"": -0.2978014393345143, ""mean_calmar_0bp"": 0.8798513924741702, ""median_calmar_0bp"": 0.7504160276135878, ""worst_calmar_0bp"": -0.3688273982616525, ""mean_max_drawdown_0bp"": 0.025483342587875567, ""median_max_drawdown_0bp"": 0.022170900692840667, ""worst_max_drawdown_0bp"": 0.01061865189289013, ""mean_profit_factor_0bp"": 1.6722778450060556, ""median_profit_factor_0bp"": 1.6497696522038712, ""worst_profit_factor_0bp"": 0.773928472446173, ""mean_win_rate_0bp"": 0.08630952380952381, ""median_win_rate_0bp"": 0.08333333333333333, ""worst_win_rate_0bp"": 0.0625, ""mean_average_win_0bp"": 0.010738697230227884, ""median_average_win_0bp"": 0.01026331865792418, ""worst_average_win_0bp"": 0.009172907529601926, ""mean_average_loss_0bp"": -0.01209715249703103, ""median_average_loss_0bp"": -0.01112022822986003, ""worst_average_loss_0bp"": -0.02048256073633331, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 3.2, ""median_turnover_0bp"": 3.0, ""worst_turnover_0bp"": 1.0, ""mean_cumulative_return_2bp"": 0.009839989234155855, ""median_cumulative_return_2bp"": 0.01363457536468049, ""worst_cumulative_return_2bp"": -0.01948978324951378, ""mean_annualized_return_2bp"": 0.010277738361419653, ""median_annualized_return_2bp"": 0.014321163120425195, ""worst_annualized_return_2bp"": -0.02004101713884321, ""mean_sharpe_2bp"": 0.4078139687627374, ""median_sharpe_2bp"": 0.5268709215516449, ""worst_sharpe_2bp"": -0.36642640495236434, ""mean_sortino_2bp"": 0.3122232360201393, ""median_sortino_2bp"": 0.27166226325931325, ""worst_sortino_2bp"": -0.25981346354303586, ""mean_calmar_2bp"": 0.8269422983575874, ""median_calmar_2bp"": 0.7091909613338956, ""worst_calmar_2bp"": -0.37259591030632555, ""mean_max_drawdown_2bp"": 0.02564143337640561, ""median_max_drawdown_2bp"": 0.02236829716982991, ""worst_max_drawdown_2bp"": 0.010915803320664108, ""mean_profit_factor_2bp"": 1.6261257387842363, ""median_profit_factor_2bp"": 1.6117886219887156, ""worst_profit_factor_2bp"": 0.7720106319635149, ""mean_win_rate_2bp"": 0.08630952380952381, ""median_win_rate_2bp"": 0.08333333333333333, ""worst_win_rate_2bp"": 0.0625, ""mean_average_win_2bp"": 0.010689363896894549, ""median_average_win_2bp"": 0.010196651991257515, ""worst_average_win_2bp"": 0.009122907529601926, ""mean_average_loss_2bp"": -0.005869926359496703, ""median_average_loss_2bp"": -0.004528091291944011, ""worst_average_loss_2bp"": -0.013451387631807482, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 3.2, ""median_turnover_2bp"": 3.0, ""worst_turnover_2bp"": 1.0, ""mean_cumulative_return_5bp"": 0.008866758237862071, ""median_cumulative_return_5bp"": 0.012679282701216321, ""worst_cumulative_return_5bp"": -0.019785514202153576, ""mean_annualized_return_5bp"": 0.009266992810189589, ""median_annualized_return_5bp"": 0.013044015886288118, ""worst_annualized_return_5bp"": -0.02034502522981063, ""mean_sharpe_5bp"": 0.37631380842311074, ""median_sharpe_5bp"": 0.4922684325374257, ""worst_sharpe_5bp"": -0.37217741985827607, ""mean_sortino_5bp"": 0.29012250245767557, ""median_sortino_5bp"": 0.2523724131964432, ""worst_sortino_5bp"": -0.2652643572131122, ""mean_calmar_5bp"": 0.75076914888179, ""median_calmar_5bp"": 0.6484556827570622, ""worst_calmar_5bp"": -0.3782479273975616, ""mean_max_drawdown_5bp"": 0.02587853227394581, ""median_max_drawdown_5bp"": 0.022664354526490738, ""worst_max_drawdown_5bp"": 0.01136141889487463, ""mean_profit_factor_5bp"": 1.561268984124641, ""median_profit_factor_5bp"": 1.5572684719482333, ""worst_profit_factor_5bp"": 0.7691516271966836, ""mean_win_rate_5bp"": 0.08630952380952381, ""median_win_rate_5bp"": 0.08333333333333333, ""worst_win_rate_5bp"": 0.0625, ""mean_average_win_5bp"": 0.01061536389689455, ""median_average_win_5bp"": 0.010096651991257513, ""worst_average_win_5bp"": 0.009047907529601926, ""mean_average_loss_5bp"": -0.005979354930925275, ""median_average_loss_5bp"": -0.004648091291944012, ""worst_average_loss_5bp"": -0.01350138763180748, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 3.2, ""median_turnover_5bp"": 3.0, ""worst_turnover_5bp"": 1.0, ""mean_cumulative_return_10bp"": 0.007246815325271094, ""median_cumulative_return_10bp"": 0.01116050795161394, ""worst_cumulative_return_10bp"": -0.020278300005299177, ""mean_annualized_return_10bp"": 0.007584700788531041, ""median_annualized_return_10bp"": 0.011481203253698613, ""worst_annualized_return_10bp"": -0.02085159766741629, ""mean_sharpe_10bp"": 0.3235910559854632, ""median_sharpe_10bp"": 0.4345493865614456, ""worst_sharpe_10bp"": -0.38173308515053817, ""mean_sortino_10bp"": 0.25239336963050657, ""median_sortino_10bp"": 0.22010306280892866, ""worst_sortino_10bp"": -0.274439005940573, ""mean_calmar_10bp"": 0.6314704647118929, ""median_calmar_10bp"": 0.5500716748962019, ""worst_calmar_10bp"": -0.3876659533000475, ""mean_max_drawdown_10bp"": 0.026273597685763716, ""median_max_drawdown_10bp"": 0.023157683830729248, ""worst_max_drawdown_10bp"": 0.012103814055009043, ""mean_profit_factor_10bp"": 1.4633342572100443, ""median_profit_factor_10bp"": 1.4723992585583467, ""worst_profit_factor_10bp"": 0.7644333875583774, ""mean_win_rate_10bp"": 0.08630952380952381, ""median_win_rate_10bp"": 0.08333333333333333, ""worst_win_rate_10bp"": 0.0625, ""mean_average_win_10bp"": 0.010492030563561216, ""median_average_win_10bp"": 0.009929985324590848, ""worst_average_win_10bp"": 0.008922907529601926, ""mean_average_loss_10bp"": -0.006161735883306227, ""median_average_loss_10bp"": -0.004848091291944012, ""worst_average_loss_10bp"": -0.013584720965140814, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 3.2, ""median_turnover_10bp"": 3.0, ""worst_turnover_10bp"": 1.0}"
xgboost,market_full_safe,5,5,chronological_811,3407,0.019,43,0,200,0.17695473251028807,0.5813953488372093,"{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.008099636012228007, ""median_cumulative_return_0bp"": 0.017078416016497844, ""worst_cumulative_return_0bp"": -0.015804599179735535, ""mean_annualized_return_0bp"": 0.008355419073693127, ""median_annualized_return_0bp"": 0.01757063305317308, ""worst_annualized_return_0bp"": -0.016588239202194766, ""mean_sharpe_0bp"": 0.22204372234339123, ""median_sharpe_0bp"": 0.3374444212405642, ""worst_sharpe_0bp"": -0.40616155961051964, ""mean_sortino_0bp"": 0.30197831513712403, ""median_sortino_0bp"": 0.16948460427525966, ""worst_sortino_0bp"": -0.26427570435112036, ""mean_calmar_0bp"": 0.5239628698615316, ""median_calmar_0bp"": 0.37568124673819697, ""worst_calmar_0bp"": -0.5697887346827457, ""mean_max_drawdown_0bp"": 0.030400393774585567, ""median_max_drawdown_0bp"": 0.02962172433851118, ""worst_max_drawdown_0bp"": 0.008845946306143548, ""mean_profit_factor_0bp"": 1.315104431493743, ""median_profit_factor_0bp"": 1.2894279822914887, ""worst_profit_factor_0bp"": 0.7113091068236718, ""mean_win_rate_0bp"": 0.10272108843537413, ""median_win_rate_0bp"": 0.08333333333333333, ""worst_win_rate_0bp"": 0.08163265306122448, ""mean_average_win_0bp"": 0.010530625236375825, ""median_average_win_0bp"": 0.009366811693166333, ""worst_average_win_0bp"": 0.009172907529601926, ""mean_average_loss_0bp"": -0.013043383622551336, ""median_average_loss_0bp"": -0.011528394642474321, ""worst_average_loss_0bp"": -0.021262317521275127, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 3.8, ""median_turnover_0bp"": 4.0, ""worst_turnover_0bp"": 3.0, ""mean_cumulative_return_2bp"": 0.007334801165624105, ""median_cumulative_return_2bp"": 0.016268209110544163, ""worst_cumulative_return_2bp"": -0.016593251160695432, ""mean_annualized_return_2bp"": 0.0075625700409817755, ""median_annualized_return_2bp"": 0.016736883565063643, ""worst_annualized_return_2bp"": -0.01741564786142158, ""mean_sharpe_2bp"": 0.20157256917742988, ""median_sharpe_2bp"": 0.32312338190086765, ""worst_sharpe_2bp"": -0.4271508006422856, ""mean_sortino_2bp"": 0.18899133385873726, ""median_sortino_2bp"": 0.17617038102538077, ""worst_sortino_2bp"": -0.28943354127910104, ""mean_calmar_2bp"": 0.4727445945137917, ""median_calmar_2bp"": 0.356405294719646, ""worst_calmar_2bp"": -0.5942221240688778, ""mean_max_drawdown_2bp"": 0.030692912366018565, ""median_max_drawdown_2bp"": 0.03030227943406061, ""worst_max_drawdown_2bp"": 0.00924243706452943, ""mean_profit_factor_2bp"": 1.2892380455618455, ""median_profit_factor_2bp"": 1.2751607339436877, ""worst_profit_factor_2bp"": 0.7001066431111926, ""mean_win_rate_2bp"": 0.10272108843537413, ""median_win_rate_2bp"": 0.08333333333333333, ""worst_win_rate_2bp"": 0.08163265306122448, ""mean_average_win_2bp"": 0.010489196664947253, ""median_average_win_2bp"": 0.009341811693166332, ""worst_average_win_2bp"": 0.009122907529601926, ""mean_average_loss_2bp"": -0.006177071411490257, ""median_average_loss_2bp"": -0.005930405530253636, ""worst_average_loss_2bp"": -0.009169564651975057, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 3.8, ""median_turnover_2bp"": 4.0, ""worst_turnover_2bp"": 3.0, ""mean_cumulative_return_5bp"": 0.006188505658573385, ""median_cumulative_return_5bp"": 0.015053957628924808, ""worst_cumulative_return_5bp"": -0.01777519234083058, ""mean_annualized_return_5bp"": 0.006374328632125126, ""median_annualized_return_5bp"": 0.015487384541810423, ""worst_annualized_return_5bp"": -0.01865561098093871, ""mean_sharpe_5bp"": 0.17087854051256895, ""median_sharpe_5bp"": 0.3015794974584554, ""worst_sharpe_5bp"": -0.4585261165401834, ""mean_sortino_5bp"": 0.16926006631271528, ""median_sortino_5bp"": 0.16490866229283466, ""worst_sortino_5bp"": -0.31159940736980346, ""mean_calmar_5bp"": 0.4016238906735324, ""median_calmar_5bp"": 0.32780643045092545, ""worst_calmar_5bp"": -0.6301941481323281, ""mean_max_drawdown_5bp"": 0.03113180970270881, ""median_max_drawdown_5bp"": 0.03132234499347597, ""worst_max_drawdown_5bp"": 0.00983695014519359, ""mean_profit_factor_5bp"": 1.2522769284039277, ""median_profit_factor_5bp"": 1.254090188311504, ""worst_profit_factor_5bp"": 0.683843272702001, ""mean_win_rate_5bp"": 0.10272108843537413, ""median_win_rate_5bp"": 0.08333333333333333, ""worst_win_rate_5bp"": 0.08163265306122448, ""mean_average_win_5bp"": 0.010427053807804395, ""median_average_win_5bp"": 0.009304311693166332, ""worst_average_win_5bp"": 0.009047907529601926, ""mean_average_loss_5bp"": -0.006286476173395018, ""median_average_loss_5bp"": -0.0060470721969203035, ""worst_average_loss_5bp"": -0.00925527893768934, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 3.8, ""median_turnover_5bp"": 4.0, ""worst_turnover_5bp"": 3.0, ""mean_cumulative_return_10bp"": 0.004280562068407101, ""median_cumulative_return_10bp"": 0.013033026020763172, ""worst_cumulative_return_10bp"": -0.019742332300104803, ""mean_annualized_return_10bp"": 0.004396675896414326, ""median_annualized_return_10bp"": 0.013407883625309536, ""worst_annualized_return_10bp"": -0.02071915313778505, ""mean_sharpe_10bp"": 0.11978227961283919, ""median_sharpe_10bp"": 0.26551365988627296, ""worst_sharpe_10bp"": -0.5105072022768357, ""mean_sortino_10bp"": 0.13577642012242652, ""median_sortino_10bp"": 0.14591778460932725, ""worst_sortino_10bp"": -0.3486414527746447, ""mean_calmar_10bp"": 0.30096913615463583, ""median_calmar_10bp"": 0.2809648323598541, ""worst_calmar_10bp"": -0.6618796844555549, ""mean_max_drawdown_10bp"": 0.03210465257967186, ""median_max_drawdown_10bp"": 0.03302041040996995, ""worst_max_drawdown_10bp"": 0.010827210659513642, ""mean_profit_factor_10bp"": 1.1950504497601595, ""median_profit_factor_10bp"": 1.2198267044371809, ""worst_profit_factor_10bp"": 0.6580887466369642, ""mean_win_rate_10bp"": 0.10272108843537413, ""median_win_rate_10bp"": 0.08333333333333333, ""worst_win_rate_10bp"": 0.08163265306122448, ""mean_average_win_10bp"": 0.010323482379232966, ""median_average_win_10bp"": 0.009241811693166332, ""worst_average_win_10bp"": 0.008922907529601926, ""mean_average_loss_10bp"": -0.006468817443236288, ""median_average_loss_10bp"": -0.006241516641364748, ""worst_average_loss_10bp"": -0.009398136080546484, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 3.8, ""median_turnover_10bp"": 4.0, ""worst_turnover_10bp"": 3.0}"
