feature_set,model,family,package,source_kind,input_kind,lookback_months,horizon_months,head,classifier_loss,regressor_loss,n_predictions,class_0_count,class_1_count,auc,average_precision,balanced_accuracy,accuracy,tn,fp,fn,tp,reg_price_r2,naive_price_r2,r2_status,price_rmse,price_mae,predicted_positive_rate,actual_positive_rate,r2_ok,expected_predictions,completion_ratio,valid_ba
with_news_precomputed_pca,aeon_knn_euclidean,tsc_distance,aeon,official_aeon,aeon_collection,6,2,reg,euclidean_vote,euclidean_mean,76,32,44,0.53125,0.6292127041717351,0.6619318181818181,0.6578947368421053,22,10,16,28,0.7060606040105748,0.7550604746033104,ok,132.26182763738439,106.06308561097114,0.5,0.5789473684210527,True,76,1.0,True
with_news_precomputed_pca,mlp_small_relu,neural_sklearn,sklearn,official_tabular_package,tabular_flat,6,1,cls,log_loss_mlp,squared_error_mlp,78,39,39,0.6278763971071664,0.6657407218267725,0.6538461538461539,0.6538461538461539,21,18,9,30,0.5290968468733938,0.8885904951041629,ok,177.0977354723669,130.8776349078317,0.6153846153846154,0.5,True,78,1.0,True
with_news_precomputed_pca,aeon_deep_timecnn,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,70,32,38,0.4942434210526315,0.5703364834342973,0.647203947368421,0.6571428571428571,17,15,9,29,0.6858078205823664,0.7304428442540063,ok,127.4486057616265,102.36927806219475,0.6285714285714286,0.5428571428571428,True,70,1.0,True
with_news_precomputed_pca,knn_5_distance,neighbors,sklearn,official_tabular_package,tabular_flat,6,2,reg,vote_distance,neighbor_distance,76,32,44,0.5340909090909091,0.632108341879185,0.6420454545454546,0.6447368421052632,20,12,15,29,0.706161418049162,0.7550604746033104,ok,132.23914440289917,106.22551873837249,0.5394736842105263,0.5789473684210527,True,76,1.0,True
with_news_precomputed_pca,sgd_modified_huber,linear,sklearn,official_tabular_package,tabular_flat,6,1,cls,modified_huber,huber,78,39,39,0.5834976988823142,0.5457005957005957,0.641025641025641,0.6410256410256411,17,22,6,33,0.7481232059341638,0.8885904951041629,ok,129.5213275591689,95.85288316018472,0.7051282051282052,0.5,True,78,1.0,True
with_news_precomputed_pca,lightgbm_dart,gbdt,lightgbm,official_tabular_package,tabular_flat,12,1,reg,binary_logloss_dart,l2_dart,72,39,33,0.5734265734265733,0.5266477420496574,0.6375291375291375,0.625,19,20,7,26,0.8277011739944095,0.8495432884599309,ok,94.54144078628964,77.26004121731698,0.6388888888888888,0.4583333333333333,True,72,1.0,True
no_news,aeon_deep_timecnn,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,70,32,38,0.4901315789473685,0.5597543615247479,0.6291118421052632,0.6428571428571429,15,17,8,30,0.6879050714175071,0.7304428442540063,ok,127.0225301712769,102.01432850889526,0.6714285714285714,0.5428571428571428,True,70,1.0,True
no_news,keras_lstm_u16,deep_sequence,tensorflow.keras,official_keras_layers,keras_sequence,12,1,cls,binary_crossentropy,mean_squared_error,72,39,33,0.494949494949495,0.45199370641598124,0.6282051282051282,0.625,23,16,11,22,0.8193623165141162,0.8495432884599309,ok,96.80220166404254,78.23206490020542,0.5277777777777778,0.4583333333333333,True,72,1.0,True
with_news_precomputed_pca,knn_3_uniform,neighbors,sklearn,official_tabular_package,tabular_flat,12,2,cls,vote,neighbor_mean,70,32,38,0.515625,0.5595649465219025,0.6266447368421053,0.6428571428571429,14,18,7,31,0.5248381771848205,0.7304428442540063,ok,156.7321796421759,125.52944729232375,0.7,0.5428571428571428,True,70,1.0,True
no_news,keras_tcn_filters16_k2_d1,deep_sequence,keras-tcn,official_keras_layers,keras_sequence,9,1,reg,binary_crossentropy,mean_squared_error,75,39,36,0.6011396011396012,0.5939976067528668,0.6260683760683761,0.6266666666666667,25,14,14,22,0.5687494942200684,0.8694828593903242,ok,157.46219044373962,116.73861546728376,0.48,0.48,True,75,1.0,True
no_news,svc_sigmoid,svm,sklearn,official_tabular_package,tabular_flat,9,1,cls,hinge_platt,epsilon_insensitive,75,39,36,0.5576923076923077,0.5922021523106997,0.6260683760683761,0.6266666666666667,25,14,14,22,0.8235199374945869,0.8694828593903242,ok,100.73010909821267,83.07418589132693,0.48,0.48,True,75,1.0,True
