模型,模型类型,特征,回看月,预测月,Head,测试月数,BA,AUC,AP,R2,R2状态
mlp_small_relu,ML类官方包,含新闻PCA,6,1,分类头,78,0.654,0.628,0.666,0.529,ok
sgd_modified_huber,ML类官方包,含新闻PCA,6,1,分类头,78,0.641,0.583,0.546,0.748,ok
lightgbm_dart,ML类官方包,含新闻PCA,12,1,回归头,72,0.638,0.573,0.527,0.828,ok
keras_lstm_u16,Keras短序列深度,不含新闻,12,1,分类头,72,0.628,0.495,0.452,0.819,ok
keras_tcn_filters16_k2_d1,Keras短序列深度,不含新闻,9,1,回归头,75,0.626,0.601,0.594,0.569,ok
svc_sigmoid,ML类官方包,不含新闻,9,1,分类头,75,0.626,0.558,0.592,0.824,ok
aeon_knn_dtw,官方aeon短时序,含新闻PCA,9,1,回归头,75,0.622,0.474,0.460,0.817,ok
aeon_deep_mlp,官方aeon短时序,不含新闻,9,1,回归头,75,0.616,0.669,0.655,0.464,ok
keras_gru_u16,Keras短序列深度,含新闻PCA,12,1,回归头,72,0.615,0.540,0.540,0.837,ok
extra_tree_entropy,ML类官方包,含新闻PCA,9,1,分类头,75,0.615,0.487,0.494,0.772,ok
