step,date,window_id,cumulative_dir_acc,cumulative_return,rolling_12_dir_acc,rolling_12_sharpe
1,2020-07-01,0,1.0,0.11148325358851685,1.0,0.0
2,2020-08-01,1,1.0,0.14066985645933028,1.0,5.598811150718774
3,2020-09-01,2,1.0,0.24455048883361052,1.0,7.272044279195047
4,2020-10-01,3,1.0,0.32170455074266346,1.0,7.853905633185322
5,2020-11-01,4,1.0,0.3317900490314285,1.0,5.338473309486836
6,2020-12-01,5,1.0,0.40398628006312065,1.0,5.748987706063386
7,2021-01-01,6,1.0,0.4183231202679958,1.0,4.862388241716973
8,2021-02-01,7,0.875,0.38539962853001364,0.875,3.457470531123285
9,2021-03-01,8,0.8888888888888888,0.45823662736522497,0.8888888888888888,3.75253982878806
10,2021-04-01,9,0.8,0.4017029382769495,0.8,2.6931244296579773
11,2021-05-01,10,0.8181818181818182,0.43606594481355976,0.8181818181818182,2.738839013935407
12,2021-06-01,11,0.75,0.40751699692341803,0.75,2.337247885949728
13,2021-07-01,12,0.7692307692307693,0.42906337268956296,0.75,2.054745034858738
14,2021-08-01,13,0.7142857142857143,0.3812983318612293,0.6666666666666666,1.4677429623093345
15,2021-09-01,14,0.7333333333333333,0.3996267777604736,0.6666666666666666,1.0919721356225078
16,2021-10-01,15,0.75,0.4590553750701447,0.6666666666666666,0.986021154615267
17,2021-11-01,16,0.7647058823529411,0.46905270919700537,0.6666666666666666,0.9786019297090018
18,2021-12-01,17,0.7222222222222222,0.4540567080067146,0.5833333333333334,0.4126036499203319
19,2022-01-01,18,0.7368421052631579,0.503577351879698,0.5833333333333334,0.6320497158240145
20,2022-02-01,19,0.75,0.5541863615520874,0.6666666666666666,1.2145517668947625
21,2022-03-01,20,0.7619047619047619,0.5628932879473372,0.6666666666666666,0.8286260706349788
22,2022-04-01,21,0.7727272727272727,0.6751574537013008,0.75,1.9251532868360082
23,2022-05-01,22,0.782608695652174,0.7351417383443499,0.75,2.0079766165135613
24,2022-06-01,23,0.7916666666666666,0.8267761401989917,0.8333333333333334,2.8173886950491513
25,2022-07-01,24,0.8,0.8990586493435562,0.8333333333333334,3.0392477028777045
26,2022-08-01,25,0.8076923076923077,0.989388405323568,0.9166666666666666,4.858761642834473
27,2022-09-01,26,0.8148148148148148,1.006458595430027,0.9166666666666666,4.723333046554269
28,2022-10-01,27,0.8214285714285714,1.0874983944520835,0.9166666666666666,4.714134310331235
29,2022-11-01,28,0.8275862068965517,1.1041404960369703,0.9166666666666666,4.7489887111208455
30,2022-12-01,29,0.8333333333333334,1.1649203453035128,1.0,6.275746825991211
31,2023-01-01,30,0.8387096774193549,1.178719412660263,1.0,5.418394380498268
32,2023-02-01,31,0.84375,1.1825524869260269,1.0,4.600338999126839
33,2023-03-01,32,0.8484848484848485,1.269485314216348,1.0,5.303293920314828
34,2023-04-01,33,0.8529411764705882,1.3361368652946548,1.0,5.792692012299489
35,2023-05-01,34,0.8571428571428571,1.345856042873415,1.0,4.944116910893839
36,2023-06-01,35,0.8333333333333334,1.2612163451624485,0.9166666666666666,2.7580757551871726
37,2023-07-01,36,0.8108108108108109,1.2504407540747975,0.8333333333333334,2.2146594576781093
38,2023-08-01,37,0.8157894736842105,1.2653608032730834,0.8333333333333334,1.8814549353241512
39,2023-09-01,38,0.8205128205128205,1.3523944235964178,0.8333333333333334,2.16370743131625
40,2023-10-01,39,0.8,1.2727280979875593,0.75,1.0799644852840349
41,2023-11-01,40,0.7804878048780488,1.2387132623343384,0.6666666666666666,0.7748869878091323
42,2023-12-01,41,0.7619047619047619,1.159942063979512,0.5833333333333334,0.018800952309642256
43,2024-01-01,42,0.7441860465116279,1.139354137136773,0.5,-0.15910393893255065
44,2024-02-01,43,0.75,1.203803299427086,0.5,0.14985285122996045
45,2024-03-01,44,0.7555555555555555,1.2458742803665954,0.5,-0.07527730448979958
46,2024-04-01,45,0.7608695652173914,1.2709834338116877,0.5,-0.2982862851396178
47,2024-05-01,46,0.7659574468085106,1.3147293458532863,0.5,-0.11335620117824931
48,2024-06-01,47,0.7708333333333334,1.3860542024428493,0.5833333333333334,0.6995427452905204
49,2024-07-01,48,0.7755102040816326,1.5363119003248618,0.6666666666666666,1.2750750713543417
50,2024-08-01,49,0.78,1.5503365939463944,0.6666666666666666,1.2632263299683308
51,2024-09-01,50,0.7843137254901961,1.6735992265879434,0.6666666666666666,1.3206021200014786
52,2024-10-01,51,0.7884615384615384,1.7012364320762683,0.75,1.9809676121134299
53,2024-11-01,52,0.7924528301886793,1.8033739306200776,0.8333333333333334,2.6681604169818938
54,2024-12-01,53,0.7962962962962963,1.88891377316327,0.9166666666666666,4.528394092658137
55,2025-01-01,54,0.8,1.9589009170622456,1.0,6.010009357073604
56,2025-02-01,55,0.7857142857142857,1.9472363930790828,0.9166666666666666,4.739035107719159
57,2025-03-01,56,0.7719298245614035,1.8945153232203387,0.8333333333333334,3.471939705905621
58,2025-04-01,57,0.7758620689655172,2.056536172054529,0.8333333333333334,3.7764975780202588
59,2025-05-01,58,0.7796610169491526,2.1092572419132734,0.8333333333333334,3.743342422226187
60,2025-06-01,59,0.7666666666666667,2.053354500406271,0.75,2.8063293076456537
61,2025-07-01,60,0.7704918032786885,2.1689145950389728,0.75,2.8043580324205486
62,2025-08-01,61,0.7741935483870968,2.3032610616992786,0.75,3.1972733487008838
63,2025-09-01,62,0.7777777777777778,2.3756282597648033,0.75,3.049193872181852
64,2025-10-01,63,0.765625,2.3551508134853156,0.6666666666666666,2.7178466094899663
65,2025-11-01,64,0.7692307692307693,2.53472226547467,0.6666666666666666,2.743973788980158
66,2025-12-01,65,0.7575757575757576,2.5063688783184563,0.5833333333333334,2.2212453010184814
67,2026-01-01,66,0.7611940298507462,2.5772523462089914,0.5833333333333334,2.18283615843535
68,2026-02-01,67,0.7647058823529411,2.717444093814716,0.6666666666666666,2.671493017643537
69,2026-03-01,68,0.7681159420289855,2.731620787392823,0.75,3.1644756540091383
70,2026-04-01,69,0.7714285714285715,2.85225165929493,0.75,3.146894691557429
71,2026-05-01,70,0.7746478873239436,3.0189127323175784,0.75,3.349978783843507
72,2026-06-01,71,0.7638888888888888,3.0171819344139106,0.75,3.9514524366891193
