model,feature_set,horizon,lookback,split_strategy,seed,validation_RMSE,RMSE,MAE,MAPE,sMAPE,R2,MASE,DirectionAccuracy,price_metrics,trend_metrics,economic_metrics
xgboost,market_full_safe,5,5,chronological_811,42,67.51245103405019,40.04397849139459,31.198803811406894,0.013869848697369071,0.013786364496232566,0.7880174472167482,2.4716438888814642,0.5637860082304527,"{""MAE"": 31.198803811406894, ""RMSE"": 40.04397849139459, ""MAPE"": 0.013869848697369071, ""sMAPE"": 0.013786364496232566, ""R2"": 0.7880174472167482, ""MASE"": 2.4716438888814642, ""unchanged_price_baseline_RMSE"": 32.57849021503848, ""RMSE_improvement_vs_unchanged"": -0.22915390575435524}","{""DirectionAccuracy"": 0.5637860082304527, ""BalancedAccuracy"": 0.5822264822675612, ""Precision"": 0.50920245398773, ""Recall"": 0.7614678899082569, ""AveragePrecision"": 0.4947372029478056, ""F1"": 0.6102941176470589, ""MCC"": 0.17404780846918674, ""TN"": 54, ""FP"": 80, ""FN"": 26, ""TP"": 83, ""actual_up_rate"": 0.448559670781893, ""predicted_up_rate"": 0.6707818930041153, ""constant_actual_trend"": false, ""constant_predicted_trend"": false}","{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.07946884541379359, ""median_cumulative_return_0bp"": 0.0875579876835959, ""worst_cumulative_return_0bp"": 0.002363484185554432, ""mean_annualized_return_0bp"": 0.08312214612450615, ""median_annualized_return_0bp"": 0.09213177683059226, ""worst_annualized_return_0bp"": 0.0024310943232415116, ""mean_sharpe_0bp"": 0.8160708519848112, ""median_sharpe_0bp"": 0.8815144861743572, ""worst_sharpe_0bp"": 0.07284498102603253, ""mean_sortino_0bp"": 1.2088599220829042, ""median_sortino_0bp"": 1.1484487687826472, ""worst_sortino_0bp"": 0.12451468618516656, ""mean_calmar_0bp"": 1.3098346333933528, ""median_calmar_0bp"": 1.203945879952947, ""worst_calmar_0bp"": 0.032528326383488834, ""mean_max_drawdown_0bp"": 0.07295050582348646, ""median_max_drawdown_0bp"": 0.07473776223776207, ""worst_max_drawdown_0bp"": 0.049481504208016, ""mean_profit_factor_0bp"": 1.3712456550033387, ""median_profit_factor_0bp"": 1.366610207909025, ""worst_profit_factor_0bp"": 1.026079362150145, ""mean_win_rate_0bp"": 0.5520408163265306, ""median_win_rate_0bp"": 0.6122448979591837, ""worst_win_rate_0bp"": 0.40816326530612246, ""mean_average_win_0bp"": 0.012121155381221943, ""median_average_win_0bp"": 0.012043622301778526, ""worst_average_win_0bp"": 0.010898198674700191, ""mean_average_loss_0bp"": -0.011542847566590301, ""median_average_loss_0bp"": -0.011703495129678628, ""worst_average_loss_0bp"": -0.013534854295792074, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 16.4, ""median_turnover_0bp"": 17.0, ""worst_turnover_0bp"": 14.0, ""mean_cumulative_return_2bp"": 0.07593299032503587, ""median_cumulative_return_2bp"": 0.08430137354436185, ""worst_cumulative_return_2bp"": -0.0014358470385609223, ""mean_annualized_return_2bp"": 0.07944183669646872, ""median_annualized_return_2bp"": 0.08869820861047129, ""worst_annualized_return_2bp"": -0.0014768409318365316, ""mean_sharpe_2bp"": 0.7818420637229228, ""median_sharpe_2bp"": 0.8515969243990616, ""worst_sharpe_2bp"": 0.03313538510090784, ""mean_sortino_2bp"": 1.1468591969303186, ""median_sortino_2bp"": 1.1062769485719222, ""worst_sortino_2bp"": 0.056290210901786056, ""mean_calmar_2bp"": 1.2458108734416506, ""median_calmar_2bp"": 1.1423804881005022, ""worst_calmar_2bp"": -0.019711047286132016, ""mean_max_drawdown_2bp"": 0.0734745456889633, ""median_max_drawdown_2bp"": 0.0749245288897249, ""worst_max_drawdown_2bp"": 0.050057603909961834, ""mean_profit_factor_2bp"": 1.3555056912558778, ""median_profit_factor_2bp"": 1.353425911537246, ""worst_profit_factor_2bp"": 1.0117535170720864, ""mean_win_rate_2bp"": 0.5520408163265306, ""median_win_rate_2bp"": 0.6122448979591837, ""worst_win_rate_2bp"": 0.40816326530612246, ""mean_average_win_2bp"": 0.012056822047888608, ""median_average_win_2bp"": 0.011963622301778528, ""worst_average_win_2bp"": 0.010831532008033528, ""mean_average_loss_2bp"": -0.011325798699025953, ""median_average_loss_2bp"": -0.011323355324491483, ""worst_average_loss_2bp"": -0.013568187629125407, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 16.4, ""median_turnover_2bp"": 17.0, ""worst_turnover_2bp"": 14.0, ""mean_cumulative_return_5bp"": 0.07064982247756146, ""median_cumulative_return_5bp"": 0.07943351358641837, ""worst_cumulative_return_5bp"": -0.007109273064625721, ""mean_annualized_return_5bp"": 0.07394367246449973, ""median_annualized_return_5bp"": 0.08356680636491198, ""worst_annualized_return_5bp"": -0.007311650782058532, ""mean_sharpe_5bp"": 0.7305090855183616, ""median_sharpe_5bp"": 0.8067024220869812, ""worst_sharpe_5bp"": -0.02647399799972398, ""mean_sortino_5bp"": 1.062720517612016, ""median_sortino_5bp"": 1.0434640585406998, ""worst_sortino_5bp"": -0.044953077200759334, ""mean_calmar_5bp"": 1.1520101754073595, ""median_calmar_5bp"": 1.0535548040182035, ""worst_calmar_5bp"": -0.09722334955946225, ""mean_max_drawdown_5bp"": 0.07426001157659672, ""median_max_drawdown_5bp"": 0.07520467886766946, ""worst_max_drawdown_5bp"": 0.05092131699195368, ""mean_profit_factor_5bp"": 1.332226338715357, ""median_profit_factor_5bp"": 1.3337704843345544, ""worst_profit_factor_5bp"": 0.9907366430101363, ""mean_win_rate_5bp"": 0.5479591836734694, ""median_win_rate_5bp"": 0.5918367346938775, ""worst_win_rate_5bp"": 0.40816326530612246, ""mean_average_win_5bp"": 0.012034714392336155, ""median_average_win_5bp"": 0.011843622301778526, ""worst_average_win_5bp"": 0.010898122025914458, ""mean_average_loss_5bp"": -0.011307029614949952, ""median_average_loss_5bp"": -0.011338374947069291, ""worst_average_loss_5bp"": -0.013618187629125407, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 16.4, ""median_turnover_5bp"": 17.0, ""worst_turnover_5bp"": 14.0, ""mean_cumulative_return_10bp"": 0.06189924572930723, ""median_cumulative_return_10bp"": 0.07136571367610345, ""worst_cumulative_return_10bp"": -0.01649717929786676, ""mean_annualized_return_10bp"": 0.06483922800237654, ""median_annualized_return_10bp"": 0.07506477185927385, ""worst_annualized_return_10bp"": -0.016964506699212567, ""mean_sharpe_10bp"": 0.6450194199786862, ""median_sharpe_10bp"": 0.7318592869968091, ""worst_sharpe_10bp"": -0.12589291541507872, ""mean_sortino_10bp"": 0.9287430991240558, ""median_sortino_10bp"": 0.9399799268753071, ""worst_sortino_10bp"": -0.21349524430475153, ""mean_calmar_10bp"": 1.001329447842912, ""median_calmar_10bp"": 0.9142433391720841, ""worst_calmar_10bp"": -0.22418592587698052, ""mean_max_drawdown_10bp"": 0.07556753930041057, ""median_max_drawdown_10bp"": 0.07567159549757663, ""worst_max_drawdown_10bp"": 0.05235967526477381, ""mean_profit_factor_10bp"": 1.2942065134858844, ""median_profit_factor_10bp"": 1.3013302264308957, ""worst_profit_factor_10bp"": 0.9569128217987847, ""mean_win_rate_10bp"": 0.5479591836734694, ""median_win_rate_10bp"": 0.5918367346938775, ""worst_win_rate_10bp"": 0.40816326530612246, ""mean_average_win_10bp"": 0.011876179909577534, ""median_average_win_10bp"": 0.011643622301778527, ""worst_average_win_10bp"": 0.010698122025914459, ""mean_average_loss_10bp"": -0.011476853369739224, ""median_average_loss_10bp"": -0.011538374947069292, ""worst_average_loss_10bp"": -0.01370152096245874, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 16.4, ""median_turnover_10bp"": 17.0, ""worst_turnover_10bp"": 14.0}"
xgboost,market_full_safe,5,5,chronological_811,2024,67.51245103405019,40.91770386674333,31.993608137217077,0.01425122493352453,0.014142465986595314,0.7786659714663313,2.534610189340299,0.5473251028806584,"{""MAE"": 31.993608137217077, ""RMSE"": 40.91770386674333, ""MAPE"": 0.01425122493352453, ""sMAPE"": 0.014142465986595314, ""R2"": 0.7786659714663313, ""MASE"": 2.534610189340299, ""unchanged_price_baseline_RMSE"": 32.57849021503848, ""RMSE_improvement_vs_unchanged"": -0.255972993120946}","{""DirectionAccuracy"": 0.5473251028806584, ""BalancedAccuracy"": 0.5690127344926742, ""Precision"": 0.49707602339181284, ""Recall"": 0.7798165137614679, ""AveragePrecision"": 0.4863935237345828, ""F1"": 0.6071428571428571, ""MCC"": 0.15033516417739462, ""TN"": 48, ""FP"": 86, ""FN"": 24, ""TP"": 85, ""actual_up_rate"": 0.448559670781893, ""predicted_up_rate"": 0.7037037037037037, ""constant_actual_trend"": false, ""constant_predicted_trend"": false}","{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.04931647955272709, ""median_cumulative_return_0bp"": 0.040392068619535815, ""worst_cumulative_return_0bp"": 0.017777934797536865, ""mean_annualized_return_0bp"": 0.0512927930458205, ""median_annualized_return_0bp"": 0.04245396216866837, ""worst_annualized_return_0bp"": 0.01829049336214661, ""mean_sharpe_0bp"": 0.5371551291622283, ""median_sharpe_0bp"": 0.44528684309189565, ""worst_sharpe_0bp"": 0.2235755473382563, ""mean_sortino_0bp"": 0.8360072327129491, ""median_sortino_0bp"": 0.7503275970112061, ""worst_sortino_0bp"": 0.3741224458959959, ""mean_calmar_0bp"": 0.718952351552295, ""median_calmar_0bp"": 0.6479966252636533, ""worst_calmar_0bp"": 0.18570405338429236, ""mean_max_drawdown_0bp"": 0.07810946401827275, ""median_max_drawdown_0bp"": 0.07473776223776207, ""worst_max_drawdown_0bp"": 0.06255430060816691, ""mean_profit_factor_0bp"": 1.2140468452512079, ""median_profit_factor_0bp"": 1.176901345731483, ""worst_profit_factor_0bp"": 1.0809702443486482, ""mean_win_rate_0bp"": 0.5392857142857143, ""median_win_rate_0bp"": 0.5208333333333334, ""worst_win_rate_0bp"": 0.4897959183673469, ""mean_average_win_0bp"": 0.011783780623854476, ""median_average_win_0bp"": 0.011925022756983292, ""worst_average_win_0bp"": 0.01046083631501542, ""mean_average_loss_0bp"": -0.011747795381377778, ""median_average_loss_0bp"": -0.012250223067861858, ""worst_average_loss_0bp"": -0.013062244470445508, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 14.6, ""median_turnover_0bp"": 15.0, ""worst_turnover_0bp"": 13.0, ""mean_cumulative_return_2bp"": 0.04625484296026809, ""median_cumulative_return_2bp"": 0.037474889076602125, ""worst_cumulative_return_2bp"": 0.015131631185381078, ""mean_annualized_return_2bp"": 0.04811042781345467, ""median_annualized_return_2bp"": 0.03938506851763379, ""worst_annualized_return_2bp"": 0.015567311544245399, ""mean_sharpe_2bp"": 0.5075549861982617, ""median_sharpe_2bp"": 0.41707222944377753, ""worst_sharpe_2bp"": 0.19815075096112242, ""mean_sortino_2bp"": 0.7861885584258579, ""median_sortino_2bp"": 0.6913161358243457, ""worst_sortino_2bp"": 0.3269486423369868, ""mean_calmar_2bp"": 0.6745202025016106, ""median_calmar_2bp"": 0.5994082597638274, ""worst_calmar_2bp"": 0.15718095664046297, ""mean_max_drawdown_2bp"": 0.0783700808292133, ""median_max_drawdown_2bp"": 0.0749245288897249, ""worst_max_drawdown_2bp"": 0.06274620812261777, ""mean_profit_factor_2bp"": 1.2014045517255472, ""median_profit_factor_2bp"": 1.165065918990298, ""worst_profit_factor_2bp"": 1.0713376962658163, ""mean_win_rate_2bp"": 0.5392857142857143, ""median_win_rate_2bp"": 0.5208333333333334, ""worst_win_rate_2bp"": 0.4897959183673469, ""mean_average_win_2bp"": 0.011724884400537563, ""median_average_win_2bp"": 0.011861022756983294, ""worst_average_win_2bp"": 0.010396550600729706, ""mean_average_loss_2bp"": -0.011605767896975894, ""median_average_loss_2bp"": -0.011877034059491526, ""worst_average_loss_2bp"": -0.013114876049392878, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 14.6, ""median_turnover_2bp"": 15.0, ""worst_turnover_2bp"": 13.0, ""mean_cumulative_return_5bp"": 0.04167806523916151, ""median_cumulative_return_5bp"": 0.03311335784823921, ""worst_cumulative_return_5bp"": 0.011174082367553906, ""mean_annualized_return_5bp"": 0.04335384083253997, ""median_annualized_return_5bp"": 0.03479751168405909, ""worst_annualized_return_5bp"": 0.011495169940981542, ""mean_sharpe_5bp"": 0.4631214092221591, ""median_sharpe_5bp"": 0.3748233323069754, ""worst_sharpe_5bp"": 0.16004083943487232, ""mean_sortino_5bp"": 0.7164650970779827, ""median_sortino_5bp"": 0.618970775164093, ""worst_sortino_5bp"": 0.26559751907421153, ""mean_calmar_5bp"": 0.608606439841006, ""median_calmar_5bp"": 0.5272918699762306, ""worst_calmar_5bp"": 0.11511023058641975, ""mean_max_drawdown_5bp"": 0.07876092275534101, ""median_max_drawdown_5bp"": 0.07520467886766913, ""worst_max_drawdown_5bp"": 0.0630340693942939, ""mean_profit_factor_5bp"": 1.1826911541854441, ""median_profit_factor_5bp"": 1.1475205686348877, ""worst_profit_factor_5bp"": 1.0571148340608498, ""mean_win_rate_5bp"": 0.5392857142857143, ""median_win_rate_5bp"": 0.5208333333333334, ""worst_win_rate_5bp"": 0.4897959183673469, ""mean_average_win_5bp"": 0.011636540065562192, ""median_average_win_5bp"": 0.011765022756983292, ""worst_average_win_5bp"": 0.010300122029301135, ""mean_average_loss_5bp"": -0.011696852401716007, ""median_average_loss_5bp"": -0.011989534059491526, ""worst_average_loss_5bp"": -0.01319382341781393, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 14.6, ""median_turnover_5bp"": 15.0, ""worst_turnover_5bp"": 13.0, ""mean_cumulative_return_10bp"": 0.034091730870020195, ""median_cumulative_return_10bp"": 0.025881955370681275, ""worst_cumulative_return_10bp"": 0.004609802241062999, ""mean_annualized_return_10bp"": 0.035471224468775334, ""median_annualized_return_10bp"": 0.027193495045642058, ""worst_annualized_return_10bp"": 0.004741822660448314, ""mean_sharpe_10bp"": 0.3890064899682525, ""median_sharpe_10bp"": 0.30462854238539605, ""worst_sharpe_10bp"": 0.09661965176958784, ""mean_sortino_10bp"": 0.5991025536568848, ""median_sortino_10bp"": 0.4952415855013625, ""worst_sortino_10bp"": 0.16184543893856496, ""mean_calmar_10bp"": 0.5002283156852289, ""median_calmar_10bp"": 0.40687992200841416, ""worst_calmar_10bp"": 0.046841851112099805, ""mean_max_drawdown_10bp"": 0.07948493342971948, ""median_max_drawdown_10bp"": 0.07567159549757652, ""worst_max_drawdown_10bp"": 0.06351383818042122, ""mean_profit_factor_10bp"": 1.1521378507869915, ""median_profit_factor_10bp"": 1.118754742258668, ""worst_profit_factor_10bp"": 1.0339940672678645, ""mean_win_rate_10bp"": 0.5351190476190475, ""median_win_rate_10bp"": 0.5102040816326531, ""worst_win_rate_10bp"": 0.4897959183673469, ""mean_average_win_10bp"": 0.0115871882877555, ""median_average_win_10bp"": 0.012087341735455639, ""worst_average_win_10bp"": 0.010139407743586848, ""mean_average_loss_10bp"": -0.01175588582501716, ""median_average_loss_10bp"": -0.012177034059491526, ""worst_average_loss_10bp"": -0.01332540236518235, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 14.6, ""median_turnover_10bp"": 15.0, ""worst_turnover_10bp"": 13.0}"
xgboost,market_full_safe,5,5,chronological_811,3407,67.51245103405019,42.132936042800665,32.84932203253601,0.014667615678283126,0.014541566771965433,0.7653237568582174,2.602401891636997,0.5679012345679012,"{""MAE"": 32.84932203253601, ""RMSE"": 42.132936042800665, ""MAPE"": 0.014667615678283126, ""sMAPE"": 0.014541566771965433, ""R2"": 0.7653237568582174, ""MASE"": 2.602401891636997, ""unchanged_price_baseline_RMSE"": 32.57849021503848, ""RMSE_improvement_vs_unchanged"": -0.2932746657287324}","{""DirectionAccuracy"": 0.5679012345679012, ""BalancedAccuracy"": 0.5902368889497467, ""Precision"": 0.5116279069767442, ""Recall"": 0.8073394495412844, ""AveragePrecision"": 0.4994771458749839, ""F1"": 0.6263345195729537, ""MCC"": 0.19737237177423242, ""TN"": 50, ""FP"": 84, ""FN"": 21, ""TP"": 88, ""actual_up_rate"": 0.448559670781893, ""predicted_up_rate"": 0.7078189300411523, ""constant_actual_trend"": false, ""constant_predicted_trend"": false}","{""offset_count"": 5, ""mean_cumulative_return_0bp"": 0.0976633189232429, ""median_cumulative_return_0bp"": 0.080597891223815, ""worst_cumulative_return_0bp"": 0.045596593037847244, ""mean_annualized_return_0bp"": 0.1014153636082491, ""median_annualized_return_0bp"": 0.08479411745203236, ""worst_annualized_return_0bp"": 0.04692946095584438, ""mean_sharpe_0bp"": 1.0029854405708023, ""median_sharpe_0bp"": 0.8172200033198503, ""worst_sharpe_0bp"": 0.5193325821008128, ""mean_sortino_0bp"": 1.6339262124312384, ""median_sortino_0bp"": 1.2037190702787461, ""worst_sortino_0bp"": 0.764080743452684, ""mean_calmar_0bp"": 1.3983788110914852, ""median_calmar_0bp"": 1.33079656556662, ""worst_calmar_0bp"": 0.5258388869052423, ""mean_max_drawdown_0bp"": 0.07483477651976189, ""median_max_drawdown_0bp"": 0.07473776223776207, ""worst_max_drawdown_0bp"": 0.06371681415929198, ""mean_profit_factor_0bp"": 1.451788268696943, ""median_profit_factor_0bp"": 1.3358144163517884, ""worst_profit_factor_0bp"": 1.196153549121347, ""mean_win_rate_0bp"": 0.5599489795918368, ""median_win_rate_0bp"": 0.5510204081632653, ""worst_win_rate_0bp"": 0.5306122448979592, ""mean_average_win_0bp"": 0.012146627256074035, ""median_average_win_0bp"": 0.011576747377504415, ""worst_average_win_0bp"": 0.011098083293823216, ""mean_average_loss_0bp"": -0.011240520575428884, ""median_average_loss_0bp"": -0.011674165905432944, ""worst_average_loss_0bp"": -0.012991547572521295, ""mean_trade_count_0bp"": 48.6, ""median_trade_count_0bp"": 49.0, ""worst_trade_count_0bp"": 48.0, ""mean_turnover_0bp"": 13.4, ""median_turnover_0bp"": 13.0, ""worst_turnover_0bp"": 11.0, ""mean_cumulative_return_2bp"": 0.09473171525184174, ""median_cumulative_return_2bp"": 0.07758613450216978, ""worst_cumulative_return_2bp"": 0.0433039932280217, ""mean_annualized_return_2bp"": 0.09836672015055599, ""median_annualized_return_2bp"": 0.08161971413304303, ""worst_annualized_return_2bp"": 0.04456842632726987, ""mean_sharpe_2bp"": 0.9756437391284709, ""median_sharpe_2bp"": 0.789977390408055, ""worst_sharpe_2bp"": 0.49625875535343067, ""mean_sortino_2bp"": 1.5822311755515064, ""median_sortino_2bp"": 1.132910802678363, ""worst_sortino_2bp"": 0.7297783577135551, ""mean_calmar_2bp"": 1.3533999696913903, ""median_calmar_2bp"": 1.2809760690324798, ""worst_calmar_2bp"": 0.49834772221793905, ""mean_max_drawdown_2bp"": 0.07506022110796814, ""median_max_drawdown_2bp"": 0.0749245288897249, ""worst_max_drawdown_2bp"": 0.06371681415929209, ""mean_profit_factor_2bp"": 1.4378649107048362, ""median_profit_factor_2bp"": 1.323684219613632, ""worst_profit_factor_2bp"": 1.1866264728374885, ""mean_win_rate_2bp"": 0.5599489795918368, ""median_win_rate_2bp"": 0.5510204081632653, ""worst_win_rate_2bp"": 0.5306122448979592, ""mean_average_win_2bp"": 0.012088060458886551, ""median_average_win_2bp"": 0.01151960452036156, ""worst_average_win_2bp"": 0.011053638849378773, ""mean_average_loss_2bp"": -0.011069086537549141, ""median_average_loss_2bp"": -0.01139453132886996, ""worst_average_loss_2bp"": -0.013023126519889716, ""mean_trade_count_2bp"": 48.6, ""median_trade_count_2bp"": 49.0, ""worst_trade_count_2bp"": 48.0, ""mean_turnover_2bp"": 13.4, ""median_turnover_2bp"": 13.0, ""worst_turnover_2bp"": 11.0, ""mean_cumulative_return_5bp"": 0.09034842303372628, ""median_cumulative_return_5bp"": 0.07308311104914078, ""worst_cumulative_return_5bp"": 0.03987366092547773, ""mean_annualized_return_5bp"": 0.09380898606099394, ""median_annualized_return_5bp"": 0.07687433764256357, ""worst_annualized_return_5bp"": 0.041035974460319924, ""mean_sharpe_5bp"": 0.9345662962927779, ""median_sharpe_5bp"": 0.7490141026720081, ""worst_sharpe_5bp"": 0.46158435799402836, ""mean_sortino_5bp"": 1.5168756895266893, ""median_sortino_5bp"": 1.0491401122201838, ""worst_sortino_5bp"": 0.6782335254666846, ""mean_calmar_5bp"": 1.2866479983692212, ""median_calmar_5bp"": 1.2065000213346773, ""worst_calmar_5bp"": 0.4574256319022833, ""mean_max_drawdown_5bp"": 0.0753983014392818, ""median_max_drawdown_5bp"": 0.07520467886766913, ""worst_max_drawdown_5bp"": 0.06371681415929209, ""mean_profit_factor_5bp"": 1.417247217448637, ""median_profit_factor_5bp"": 1.3055988262869234, ""worst_profit_factor_5bp"": 1.1724770645178577, ""mean_win_rate_5bp"": 0.5599489795918368, ""median_win_rate_5bp"": 0.5510204081632653, ""worst_win_rate_5bp"": 0.5306122448979592, ""mean_average_win_5bp"": 0.012000210263105321, ""median_average_win_5bp"": 0.011433890234647272, ""worst_average_win_5bp"": 0.010986972182712105, ""mean_average_loss_5bp"": -0.011143647178281407, ""median_average_loss_5bp"": -0.011439531328869958, ""worst_average_loss_5bp"": -0.013070494940942347, ""mean_trade_count_5bp"": 48.6, ""median_trade_count_5bp"": 49.0, ""worst_trade_count_5bp"": 48.0, ""mean_turnover_5bp"": 13.4, ""median_turnover_5bp"": 13.0, ""worst_turnover_5bp"": 11.0, ""mean_cumulative_return_10bp"": 0.08308041586382169, ""median_cumulative_return_10bp"": 0.0656168812593454, ""worst_cumulative_return_10bp"": 0.034179218567202074, ""mean_annualized_return_10bp"": 0.08625320446987343, ""median_annualized_return_10bp"": 0.06900847056861115, ""worst_annualized_return_10bp"": 0.03517274649057489, ""mean_sharpe_10bp"": 0.8659580108842343, ""median_sharpe_10bp"": 0.6805017470827132, ""worst_sharpe_10bp"": 0.4036454266125672, ""mean_sortino_10bp"": 1.4047010465988063, ""median_sortino_10bp"": 0.9087066037530912, ""worst_sortino_10bp"": 0.5921554939309888, ""mean_calmar_10bp"": 1.1772598329767177, ""median_calmar_10bp"": 1.0830496075351463, ""worst_calmar_10bp"": 0.3900517677198455, ""mean_max_drawdown_10bp"": 0.07596153793419957, ""median_max_drawdown_10bp"": 0.07567159549757652, ""worst_max_drawdown_10bp"": 0.06371681415929209, ""mean_profit_factor_10bp"": 1.3835304293019672, ""median_profit_factor_10bp"": 1.2757460563728737, ""worst_profit_factor_10bp"": 1.149263898341999, ""mean_win_rate_10bp"": 0.5557823129251701, ""median_win_rate_10bp"": 0.5510204081632653, ""worst_win_rate_10bp"": 0.5306122448979592, ""mean_average_win_10bp"": 0.011938479670085326, ""median_average_win_10bp"": 0.011714465091533744, ""worst_average_win_10bp"": 0.010875861071600993, ""mean_average_loss_10bp"": -0.011159601575429634, ""median_average_loss_10bp"": -0.0116013760834576, ""worst_average_loss_10bp"": -0.0131494423093634, ""mean_trade_count_10bp"": 48.6, ""median_trade_count_10bp"": 49.0, ""worst_trade_count_10bp"": 48.0, ""mean_turnover_10bp"": 13.4, ""median_turnover_10bp"": 13.0, ""worst_turnover_10bp"": 11.0}"
