output_root,run_dir,comparison_path,model,model_type,architecture,algo_base,graph_builder,graph_transform,objective,class_weight,feature_set,horizon,lookback,train_window_mode,min_train_periods,max_train_periods,pred_rows,agent_status,agent_pass,BalancedAcc,AUC,AP,DirAcc,R2_health,pred_constant_flag,health_flag,robust30_flag,exclusion_reason
framework_tsl_graph_shortlookback_directionbce_20260709_032526,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_shortlookback_directionbce_20260709_032526/tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42/comparison.csv,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42,tsl_graph,rnnencgcndec,rnnencgcndec,corr_abs_top8,,direction_bce,balanced,no_pca,2,2,expanding,24,,93,invalid,False,0.5,0.5693,0.6497,0.4301,,True,False,True,constant prediction; agent_pass != true; health_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,glasso_alpha05,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb3_h2_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb3_h2_s43,tsl_graph,grugcn,grugcn,knn_euclidean_top5,,direction_bce,balanced,with_pca,2,3,expanding,108,,8,no_signal,False,0.25,0.1667,0.6496,0.125,,False,False,False,pred_rows < 30; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_official_more_directionbce_20260709_014150,tsl_rnnencgcndec_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_official_more_directionbce_20260709_014150/tsl_rnnencgcndec_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42/comparison.csv,tsl_rnnencgcndec_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42,tsl_graph,rnnencgcndec,rnnencgcndec,knn_cosine_top5,,direction_bce,balanced,with_pca,2,6,expanding,24,,89,invalid,False,0.5,0.5203,0.6487,0.4157,,True,False,True,constant prediction; agent_pass != true; health_flag != true
graph_official_framework_top_20260708_235757,graphfw_svc_sigmoid_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1,/root/corn_spike_sota/outputs/graph_official_framework_top_20260708_235757/graphfw_svc_sigmoid_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1/comparison.csv,graphfw_svc_sigmoid_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1,graph_official_pool,,svc_sigmoid,corr_abs_top8,raw_diffuse2,,,with_pca,1,6,expanding,24,,91,no_signal,False,0.5829,0.6308,0.6484,0.5714,-0.4882,False,False,True,R2_health < -0.1; agent_pass != true; health_flag != true
framework_tsl_graph_official_more_directionbce_20260709_014150,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb9_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_official_more_directionbce_20260709_014150/tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb9_h2_s42/comparison.csv,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb9_h2_s42,tsl_graph,rnnencgcndec,rnnencgcndec,corr_abs_top8,,direction_bce,balanced,no_pca,2,9,expanding,24,,86,invalid,False,0.5,0.5916,0.6478,0.407,,True,False,True,constant prediction; agent_pass != true; health_flag != true
