output_root,run_dir,comparison_path,model,model_type,architecture,algo_base,graph_builder,graph_transform,objective,class_weight,feature_set,horizon,lookback,train_window_mode,min_train_periods,max_train_periods,pred_rows,agent_status,agent_pass,BalancedAcc,AUC,AP,DirAcc,R2_health,pred_constant_flag,health_flag,robust30_flag
framework_pyg_recurrent_cells_directionbce_20260709_034154,tsl_pyg_tgcn2_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h1_s42,/root/corn_spike_sota/outputs/framework_pyg_recurrent_cells_directionbce_20260709_034154/tsl_pyg_tgcn2_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h1_s42/comparison.csv,tsl_pyg_tgcn2_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h1_s42,tsl_graph,pyg_tgcn2,pyg_tgcn2,corr_abs_top3,,direction_bce,balanced,no_pca,1,3,expanding,24,,94,no_signal,False,0.4982,0.5625,0.5966,0.4894,,False,True,True
framework_pyg_recurrent_cells_directionbce_20260709_034154,tsl_pyg_tgcn2_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h1_s42,/root/corn_spike_sota/outputs/framework_pyg_recurrent_cells_directionbce_20260709_034154/tsl_pyg_tgcn2_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h1_s42/comparison.csv,tsl_pyg_tgcn2_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h1_s42,tsl_graph,pyg_tgcn2,pyg_tgcn2,knn_cosine_top5,,direction_bce,balanced,no_pca,1,3,expanding,24,,94,no_signal,False,0.4982,0.5611,0.5962,0.4894,,False,True,True
graph_official_recentcap_focus_20260709_0521_cap48,graphfw_ada_boost_tree_corr_abs_top5_raw_smooth_with_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_recentcap_focus_20260709_0521_cap48/graphfw_ada_boost_tree_corr_abs_top5_raw_smooth_with_pca_lb3_h1/comparison.csv,graphfw_ada_boost_tree_corr_abs_top5_raw_smooth_with_pca_lb3_h1,graph_official_pool,,ada_boost_tree,corr_abs_top5,raw_smooth,,,with_pca,1,3,expanding_with_cap,24,48.0,94,no_signal,False,0.4982,0.5213,0.5083,0.5,-0.0958,False,True,True
graph_official_recentcap_focus_20260709_0521_cap48,graphfw_perceptron_corr_abs_top8_smooth_only_with_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_recentcap_focus_20260709_0521_cap48/graphfw_perceptron_corr_abs_top8_smooth_only_with_pca_lb3_h1/comparison.csv,graphfw_perceptron_corr_abs_top8_smooth_only_with_pca_lb3_h1,graph_official_pool,,perceptron,corr_abs_top8,smooth_only,,,with_pca,1,3,expanding_with_cap,24,48.0,94,no_signal,False,0.4982,0.5161,0.4952,0.5,-0.0295,False,True,True
graph_official_framework_shortlookback_20260709_000325,graphfw_lightgbm_dart_corr_abs_top8_smooth_only_no_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_lightgbm_dart_corr_abs_top8_smooth_only_no_pca_lb3_h1/comparison.csv,graphfw_lightgbm_dart_corr_abs_top8_smooth_only_no_pca_lb3_h1,graph_official_pool,,lightgbm_dart,corr_abs_top8,smooth_only,,,no_pca,1,3,expanding,24,,94,no_signal,False,0.4982,0.5027,0.5435,0.5,-0.0605,False,True,True
graph_official_recentcap_focus_20260709_0521_cap48,graphfw_ada_boost_tree_group_prefix_graph_stats_with_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_recentcap_focus_20260709_0521_cap48/graphfw_ada_boost_tree_group_prefix_graph_stats_with_pca_lb3_h1/comparison.csv,graphfw_ada_boost_tree_group_prefix_graph_stats_with_pca_lb3_h1,graph_official_pool,,ada_boost_tree,group_prefix,graph_stats,,,with_pca,1,3,expanding_with_cap,24,48.0,94,no_signal,False,0.4982,0.4357,0.4311,0.5,-0.0602,False,True,True
graph_official_framework_shortlookback_20260709_000325,graphfw_ada_boost_tree_corr_abs_top8_smooth_only_with_pca_lb2_h2,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_ada_boost_tree_corr_abs_top8_smooth_only_with_pca_lb2_h2/comparison.csv,graphfw_ada_boost_tree_corr_abs_top8_smooth_only_with_pca_lb2_h2,graph_official_pool,,ada_boost_tree,corr_abs_top8,smooth_only,,,with_pca,2,2,expanding,24,,93,no_signal,False,0.4979,0.4231,0.5034,0.4731,-0.0135,False,True,True
graph_official_framework_shortlookback_20260709_000325,graphfw_lightgbm_dart_corr_abs_top5_raw_smooth_no_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_lightgbm_dart_corr_abs_top5_raw_smooth_no_pca_lb3_h1/comparison.csv,graphfw_lightgbm_dart_corr_abs_top5_raw_smooth_no_pca_lb3_h1,graph_official_pool,,lightgbm_dart,corr_abs_top5,raw_smooth,,,no_pca,1,3,expanding,24,,94,no_signal,False,0.4977,0.5181,0.5138,0.5,-0.0094,False,True,True
graph_official_visibility_ts2vg_20260709_084024,graphfw_gradient_boosting_corr_abs_top3_visibility_nvg_stats_no_pca_lb6_h1,/root/corn_spike_sota/outputs/graph_official_visibility_ts2vg_20260709_084024/graphfw_gradient_boosting_corr_abs_top3_visibility_nvg_stats_no_pca_lb6_h1/comparison.csv,graphfw_gradient_boosting_corr_abs_top3_visibility_nvg_stats_no_pca_lb6_h1,graph_official_pool,,gradient_boosting,corr_abs_top3,visibility_nvg_stats,,,no_pca,1,6,expanding,24,,91,no_signal,False,0.4976,0.5106,0.4791,0.4945,-0.0994,False,True,True
graph_official_extra_transforms_shortlookback_20260709_0627,graphfw_hist_gradient_boosting_l2_corr_abs_top8_raw_residual_no_pca_lb4_h1,/root/corn_spike_sota/outputs/graph_official_extra_transforms_shortlookback_20260709_0627/graphfw_hist_gradient_boosting_l2_corr_abs_top8_raw_residual_no_pca_lb4_h1/comparison.csv,graphfw_hist_gradient_boosting_l2_corr_abs_top8_raw_residual_no_pca_lb4_h1,graph_official_pool,,hist_gradient_boosting_l2,corr_abs_top8,raw_residual,,,no_pca,1,4,expanding,24,,93,no_signal,False,0.4975,0.4676,0.4699,0.4946,-0.0645,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mstgcn_direction_bce_tiny_spearman_abs_top5_with_pca_lb6_h1_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mstgcn_direction_bce_tiny_spearman_abs_top5_with_pca_lb6_h1_s42/comparison.csv,tsl_pyg_mstgcn_direction_bce_tiny_spearman_abs_top5_with_pca_lb6_h1_s42,tsl_graph,pyg_mstgcn,pyg_mstgcn,spearman_abs_top5,,direction_bce,balanced,with_pca,1,6,expanding,24,,91,no_signal,False,0.4973,0.5222,0.5329,0.5055,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h1_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h1_s42/comparison.csv,tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h1_s42,tsl_graph,pyg_mstgcn,pyg_mstgcn,corr_abs_top5,,direction_bce,balanced,with_pca,1,6,expanding,24,,91,no_signal,False,0.4973,0.5203,0.5476,0.5055,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mstgcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h1_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mstgcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h1_s42/comparison.csv,tsl_pyg_mstgcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h1_s42,tsl_graph,pyg_mstgcn,pyg_mstgcn,glasso_alpha05,,direction_bce,balanced,with_pca,1,6,expanding,24,,91,no_signal,False,0.4973,0.5203,0.5476,0.5055,,False,True,True
framework_tsl_graph_official_more_directionbce_20260709_014150,tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb9_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_official_more_directionbce_20260709_014150/tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb9_h2_s42/comparison.csv,tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb9_h2_s42,tsl_graph,gatedgnn,gatedgnn,corr_abs_top3,,direction_bce,balanced,with_pca,2,9,expanding,24,,86,no_signal,False,0.4972,0.5048,0.6298,0.4302,,False,True,True
graph_official_recurrence_pyts_20260709_085225,graphfw_random_forest_shallow_corr_abs_top3_recurrence_plot_stats_no_pca_lb6_h1,/root/corn_spike_sota/outputs/graph_official_recurrence_pyts_20260709_085225/graphfw_random_forest_shallow_corr_abs_top3_recurrence_plot_stats_no_pca_lb6_h1/comparison.csv,graphfw_random_forest_shallow_corr_abs_top3_recurrence_plot_stats_no_pca_lb6_h1,graph_official_pool,,random_forest_shallow,corr_abs_top3,recurrence_plot_stats,,,no_pca,1,6,expanding,24,,91,no_signal,False,0.4971,0.4139,0.4313,0.4835,-0.0476,False,True,True
framework_tsl_graph_classbalanced_focus_20260709_0524,tsl_stgcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_classbalanced_focus_20260709_0524/tsl_stgcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42/comparison.csv,tsl_stgcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42,tsl_graph,stgcn,stgcn,corr_abs_top8,,direction_bce,balanced,no_pca,2,6,expanding,24,,89,no_signal,False,0.4969,0.4813,0.6258,0.5169,,False,True,True
framework_tsl_graph_shortlookback_directionbce_20260709_032526,tsl_gatedgnn_direction_bce_tiny_corr_abs_top8_no_pca_lb3_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_shortlookback_directionbce_20260709_032526/tsl_gatedgnn_direction_bce_tiny_corr_abs_top8_no_pca_lb3_h2_s42/comparison.csv,tsl_gatedgnn_direction_bce_tiny_corr_abs_top8_no_pca_lb3_h2_s42,tsl_graph,gatedgnn,gatedgnn,corr_abs_top8,,direction_bce,balanced,no_pca,2,3,expanding,24,,92,no_signal,False,0.4966,0.5399,0.6164,0.4239,,False,True,True
framework_tsl_graph_shortlookback_directionbce_20260709_032526,tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_shortlookback_directionbce_20260709_032526/tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42/comparison.csv,tsl_gatedgnn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42,tsl_graph,gatedgnn,gatedgnn,corr_abs_top3,,direction_bce,balanced,no_pca,2,3,expanding,24,,92,no_signal,False,0.4966,0.5346,0.6164,0.4239,,False,True,True
framework_tsl_graph_shortlookback_directionbce_20260709_032526,tsl_gatedgnn_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_shortlookback_directionbce_20260709_032526/tsl_gatedgnn_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h2_s42/comparison.csv,tsl_gatedgnn_direction_bce_tiny_knn_cosine_top5_no_pca_lb3_h2_s42,tsl_graph,gatedgnn,gatedgnn,knn_cosine_top5,,direction_bce,balanced,no_pca,2,3,expanding,24,,92,no_signal,False,0.4966,0.5346,0.6142,0.4239,,False,True,True
graph_official_extra_transforms_shortlookback_20260709_0627,graphfw_xgboost_gbtree_knn_euclidean_top5_raw_residual_no_pca_lb4_h1,/root/corn_spike_sota/outputs/graph_official_extra_transforms_shortlookback_20260709_0627/graphfw_xgboost_gbtree_knn_euclidean_top5_raw_residual_no_pca_lb4_h1/comparison.csv,graphfw_xgboost_gbtree_knn_euclidean_top5_raw_residual_no_pca_lb4_h1,graph_official_pool,,xgboost_gbtree,knn_euclidean_top5,raw_residual,,,no_pca,1,4,expanding,24,,93,no_signal,False,0.4965,0.5176,0.5143,0.4946,-0.0459,False,True,True
