horizon,lookback,split_strategy,seed,train_start_date,train_end_date,train_max_target_date,validation_start_date,validation_end_date,test_start_date,test_end_date,prediction_anchor_date,prediction_target_date,n_train,n_predictions,fixed_split_threshold_source,threshold_calibration_max_target_date,n_threshold_samples,selected_feature_count,selected_columns_hash
10,20,chronological_712,2024,2016-07-26,2023-06-19,2023-07-05,2023-07-06,2024-06-18,2024-07-03,2026-06-11,2024-07-03,2024-07-17,1677,470,validation,2024-07-02,230,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
10,20,chronological_712,3407,2016-07-26,2023-06-19,2023-07-05,2023-07-06,2024-06-18,2024-07-03,2026-06-11,2024-07-03,2024-07-17,1677,470,validation,2024-07-02,230,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
15,5,chronological_712,42,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
15,5,chronological_712,2024,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
15,5,chronological_712,3407,2016-07-05,2023-06-07,2023-06-30,2023-07-03,2024-06-06,2024-07-01,2026-06-04,2024-07-01,2024-07-22,1684,467,validation,2024-06-28,226,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
15,10,chronological_712,42,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
15,10,chronological_712,2024,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
15,10,chronological_712,3407,2016-07-12,2023-06-09,2023-07-04,2023-07-05,2024-06-07,2024-07-02,2026-06-04,2024-07-02,2024-07-23,1681,466,validation,2024-07-01,225,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
15,15,chronological_712,42,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
15,15,chronological_712,2024,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
15,15,chronological_712,3407,2016-07-19,2023-06-12,2023-07-05,2023-07-06,2024-06-11,2024-07-03,2026-06-04,2024-07-03,2024-07-24,1677,465,validation,2024-07-02,225,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
15,20,chronological_712,42,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
15,20,chronological_712,2024,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
15,20,chronological_712,3407,2016-07-26,2023-06-14,2023-07-07,2023-07-10,2024-06-12,2024-07-04,2026-06-04,2024-07-04,2024-07-25,1674,464,validation,2024-07-03,224,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
20,5,chronological_712,42,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
20,5,chronological_712,2024,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
20,5,chronological_712,3407,2016-07-05,2023-06-02,2023-07-04,2023-07-05,2024-05-31,2024-07-02,2026-05-28,2024-07-02,2024-07-30,1681,461,validation,2024-07-01,220,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
20,10,chronological_712,42,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
20,10,chronological_712,2024,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
20,10,chronological_712,3407,2016-07-12,2023-06-05,2023-07-05,2023-07-06,2024-06-03,2024-07-03,2026-05-28,2024-07-03,2024-07-31,1677,460,validation,2024-07-02,220,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
20,15,chronological_712,42,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
20,15,chronological_712,2024,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
20,15,chronological_712,3407,2016-07-19,2023-06-07,2023-07-07,2023-07-10,2024-06-04,2024-07-04,2026-05-28,2024-07-04,2024-08-01,1674,459,validation,2024-07-03,219,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
20,20,chronological_712,42,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
20,20,chronological_712,2024,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
20,20,chronological_712,3407,2016-07-26,2023-06-08,2023-07-10,2023-07-11,2024-06-05,2024-07-05,2026-05-28,2024-07-05,2024-08-02,1670,458,validation,2024-07-04,219,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
