horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,n_neighbors,weights
15,5,chronological_712,3407,188.64023476207677,370,,15,uniform
15,5,chronological_712,3407,189.46256805130355,370,,15,distance
15,10,chronological_712,42,251.92004622278256,740,,5,uniform
15,10,chronological_712,42,252.93712792193008,740,,5,distance
15,10,chronological_712,42,213.0581506665072,740,,15,uniform
15,10,chronological_712,42,214.45249869058486,740,,15,distance
15,10,chronological_712,2024,251.92004622278256,740,,5,uniform
15,10,chronological_712,2024,252.93712792193008,740,,5,distance
15,10,chronological_712,2024,213.0581506665072,740,,15,uniform
15,10,chronological_712,2024,214.45249869058486,740,,15,distance
15,10,chronological_712,3407,251.92004622278256,740,,5,uniform
15,10,chronological_712,3407,252.93712792193008,740,,5,distance
15,10,chronological_712,3407,213.0581506665072,740,,15,uniform
15,10,chronological_712,3407,214.45249869058486,740,,15,distance
15,15,chronological_712,42,254.8087554748986,1110,,5,uniform
15,15,chronological_712,42,255.51538535338605,1110,,5,distance
15,15,chronological_712,42,217.2462460372652,1110,,15,uniform
15,15,chronological_712,42,218.79058045995262,1110,,15,distance
15,15,chronological_712,2024,254.8087554748986,1110,,5,uniform
15,15,chronological_712,2024,255.51538535338605,1110,,5,distance
15,15,chronological_712,2024,217.2462460372652,1110,,15,uniform
15,15,chronological_712,2024,218.79058045995262,1110,,15,distance
15,15,chronological_712,3407,254.8087554748986,1110,,5,uniform
15,15,chronological_712,3407,255.51538535338605,1110,,5,distance
15,15,chronological_712,3407,217.2462460372652,1110,,15,uniform
15,15,chronological_712,3407,218.79058045995262,1110,,15,distance
15,20,chronological_712,42,270.7065781036202,1480,,5,uniform
15,20,chronological_712,42,271.12188302457633,1480,,5,distance
15,20,chronological_712,42,223.11881181672678,1480,,15,uniform
15,20,chronological_712,42,224.96457659077743,1480,,15,distance
15,20,chronological_712,2024,270.7065781036202,1480,,5,uniform
15,20,chronological_712,2024,271.12188302457633,1480,,5,distance
15,20,chronological_712,2024,223.11881181672678,1480,,15,uniform
15,20,chronological_712,2024,224.96457659077743,1480,,15,distance
15,20,chronological_712,3407,270.7065781036202,1480,,5,uniform
15,20,chronological_712,3407,271.12188302457633,1480,,5,distance
15,20,chronological_712,3407,223.11881181672678,1480,,15,uniform
15,20,chronological_712,3407,224.96457659077743,1480,,15,distance
20,5,chronological_712,42,235.3123514124848,370,,5,uniform
20,5,chronological_712,42,238.07968131827442,370,,5,distance
20,5,chronological_712,42,183.64327371237417,370,,15,uniform
20,5,chronological_712,42,184.69221484384448,370,,15,distance
20,5,chronological_712,2024,235.3123514124848,370,,5,uniform
20,5,chronological_712,2024,238.07968131827442,370,,5,distance
20,5,chronological_712,2024,183.64327371237417,370,,15,uniform
20,5,chronological_712,2024,184.69221484384448,370,,15,distance
20,5,chronological_712,3407,235.3123514124848,370,,5,uniform
20,5,chronological_712,3407,238.07968131827442,370,,5,distance
20,5,chronological_712,3407,183.64327371237417,370,,15,uniform
20,5,chronological_712,3407,184.69221484384448,370,,15,distance
20,10,chronological_712,42,254.87470041000716,740,,5,uniform
20,10,chronological_712,42,256.15785583785623,740,,5,distance
20,10,chronological_712,42,209.4889393671459,740,,15,uniform
20,10,chronological_712,42,211.32322615930943,740,,15,distance
