"dataset","model","run_id","horizon","lookback","seed","validation_rmse","selected_feature_count","best_epoch","base_fixed_params","selected_grid_params"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","5","42","183.64327371237417","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","5","2024","183.64327371237417","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","5","3407","183.64327371237417","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","10","42","209.4889393671459","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","10","2024","209.4889393671459","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","10","3407","209.4889393671459","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","15","42","216.70430030264762","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","15","2024","216.70430030264762","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","15","3407","216.70430030264762","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","20","42","225.54799363500277","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","20","2024","225.54799363500277","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","20","20","3407","225.54799363500277","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","5","42","58.52836875295316","370","16","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","5","2024","52.10265432419208","370","8","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","5","3407","62.41440168390131","370","3","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","10","42","57.99855313851378","740","12","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","10","2024","56.20767774386547","740","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","10","3407","65.79595543919768","740","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","15","42","57.739755629764176","1110","12","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","15","2024","56.11646858673912","1110","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","15","3407","68.91475593205067","1110","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","20","42","55.950138317583686","1480","12","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","20","2024","58.065013512550024","1480","3","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","5","20","3407","66.00711345585171","1480","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","5","42","58.795740662907946","370","10","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","5","2024","55.526623307195976","370","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","5","3407","59.968423079922125","370","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","10","42","59.04516735037323","740","8","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","10","2024","54.739482444092346","740","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","10","3407","62.17264833399635","740","3","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","15","42","56.595941258149104","1110","8","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","15","2024","54.49518708989179","1110","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","15","3407","61.77601660494149","1110","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","20","42","56.02603224085877","1480","8","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","20","2024","54.474316084044915","1480","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","10","20","3407","61.97550011157793","1480","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","5","42","67.54926723168151","370","6","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","5","2024","66.04542125265559","370","9","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","5","3407","65.8369077980099","370","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","10","42","65.55083523360757","740","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","10","2024","62.105820884322235","740","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","10","3407","66.75998295230713","740","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","15","42","63.8756071684284","1110","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","15","2024","60.09801063750195","1110","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","15","3407","66.68412673172564","1110","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","20","42","64.10110112391747","1480","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","20","2024","59.18544258801214","1480","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","15","20","3407","66.69473134905452","1480","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","5","42","70.66486644204265","370","7","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","5","2024","69.74807087262518","370","7","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","5","3407","69.99560756164821","370","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","10","42","70.97066714109728","740","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","10","2024","68.2828199244715","740","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","10","3407","69.46593430097613","740","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","15","42","70.81363219909295","1110","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","15","2024","65.92431057862335","1110","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","15","3407","69.4874785704811","1110","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","20","42","71.74537474734511","1480","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=32; learning_rate=0.001"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","20","2024","65.3101313942682","1480","5","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","lstm","2026-07-20-16-33-41-model-catalog-autodl","20","20","3407","70.17539867006091","1480","4","batch_size=64; max_epochs=60; patience=8; device=cuda","hidden_size=64; learning_rate=0.0005"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","5","42","84.15051256320216","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
