date,open,high,low,close,volume,hold,settle,contract
2021-08-16,7898.0,7898.0,7618.0,7618.0,8,7,7798.0,P2208
2021-08-18,7698.0,7698.0,7644.0,7644.0,2,7,7670.0,P2208
2021-08-20,7514.0,7514.0,7404.0,7404.0,3,7,7476.0,P2208
2021-08-23,7400.0,7464.0,7400.0,7464.0,2,8,7432.0,P2208
2021-08-25,7576.0,7600.0,7576.0,7600.0,3,9,7588.0,P2208
2021-08-26,7682.0,7682.0,7640.0,7640.0,3,9,7666.0,P2208
2021-08-27,7580.0,7580.0,7570.0,7570.0,2,10,7574.0,P2208
2021-09-01,7422.0,7422.0,7322.0,7322.0,5,12,7368.0,P2208
2021-09-02,7280.0,7320.0,7220.0,7320.0,23,23,7274.0,P2208
2021-09-03,7356.0,7524.0,7338.0,7504.0,334,335,7500.0,P2208
2021-09-06,7450.0,7514.0,7450.0,7514.0,51,385,7512.0,P2208
2021-09-07,7414.0,7466.0,7414.0,7466.0,2,384,7440.0,P2208
2021-09-08,7550.0,7552.0,7450.0,7480.0,422,803,7462.0,P2208
2021-09-09,7564.0,7600.0,7494.0,7590.0,404,1203,7520.0,P2208
2021-09-10,7400.0,7400.0,7400.0,7400.0,4,1207,7400.0,P2208
2021-09-13,7346.0,7564.0,7336.0,7400.0,46,1241,7372.0,P2208
2021-09-14,7410.0,7444.0,7410.0,7444.0,3,1239,7420.0,P2208
2021-09-15,7510.0,7610.0,7456.0,7610.0,117,1143,7514.0,P2208
2021-09-16,7628.0,7754.0,7596.0,7664.0,378,1484,7634.0,P2208
2021-09-17,7712.0,7712.0,7318.0,7368.0,42,1494,7492.0,P2208
2021-09-22,7350.0,7422.0,7316.0,7418.0,134,1611,7410.0,P2208
2021-09-23,7482.0,7622.0,7440.0,7600.0,166,1761,7488.0,P2208
2021-09-24,7624.0,7688.0,7596.0,7662.0,1429,3155,7624.0,P2208
2021-09-27,7616.0,7750.0,7590.0,7616.0,311,3044,7634.0,P2208
2021-09-28,7620.0,7634.0,7528.0,7618.0,909,2288,7624.0,P2208
2021-09-29,7646.0,7646.0,7606.0,7628.0,4,2288,7626.0,P2208
2021-09-30,7668.0,7794.0,7656.0,7730.0,82,2237,7722.0,P2208
2021-10-08,8172.0,8296.0,8172.0,8248.0,12,2239,8230.0,P2208
2021-10-11,8372.0,8476.0,8318.0,8432.0,865,3090,8388.0,P2208
2021-10-12,8414.0,8494.0,8052.0,8336.0,40,3058,8394.0,P2208
2021-10-13,8318.0,8358.0,8178.0,8276.0,75,3023,8314.0,P2208
2021-10-14,8190.0,8194.0,8156.0,8194.0,6,3025,8184.0,P2208
2021-10-15,8238.0,8238.0,8238.0,8238.0,650,2375,8238.0,P2208
2021-10-18,8360.0,8520.0,8360.0,8466.0,819,2690,8448.0,P2208
2021-10-19,8524.0,8682.0,8502.0,8672.0,266,2795,8626.0,P2208
2021-10-20,8574.0,8626.0,8502.0,8626.0,3,2795,8566.0,P2208
2021-10-21,8912.0,8976.0,8820.0,8820.0,146,2654,8850.0,P2208
2021-10-22,8506.0,8524.0,8380.0,8410.0,195,2826,8504.0,P2208
2021-10-25,8390.0,8420.0,8390.0,8420.0,9,2829,8406.0,P2208
2021-10-26,8472.0,8534.0,8472.0,8512.0,757,3175,8502.0,P2208
2021-10-27,8536.0,8536.0,8440.0,8524.0,40,3141,8460.0,P2208
2021-10-28,8368.0,8368.0,8128.0,8250.0,47,3182,8200.0,P2208
2021-10-29,8418.0,8418.0,8400.0,8400.0,51,3131,8400.0,P2208
2021-11-01,8390.0,8390.0,8296.0,8296.0,5,3131,8366.0,P2208
2021-11-02,8300.0,8352.0,8170.0,8214.0,265,3180,8276.0,P2208
2021-11-03,8292.0,8400.0,8212.0,8400.0,765,3699,8300.0,P2208
2021-11-04,8356.0,8356.0,8128.0,8128.0,317,3467,8336.0,P2208
2021-11-05,8170.0,8174.0,8050.0,8050.0,691,3106,8126.0,P2208
2021-11-08,8018.0,8018.0,7476.0,7806.0,10,3110,7660.0,P2208
2021-11-09,7806.0,7828.0,7580.0,7600.0,324,3389,7794.0,P2208
2021-11-10,7678.0,7770.0,7678.0,7770.0,201,3589,7768.0,P2208
2021-11-11,7896.0,7956.0,7888.0,7894.0,200,3586,7894.0,P2208
2021-11-12,7872.0,7972.0,7872.0,7926.0,18,3570,7922.0,P2208
2021-11-15,8006.0,8006.0,8004.0,8004.0,215,3355,8004.0,P2208
2021-11-16,8092.0,8150.0,7928.0,7958.0,508,3451,7946.0,P2208
2021-11-17,7998.0,8092.0,7996.0,7996.0,160,3321,8024.0,P2208
2021-11-18,8116.0,8116.0,8112.0,8112.0,180,3331,8114.0,P2208
2021-11-19,8134.0,8228.0,8114.0,8204.0,455,3341,8168.0,P2208
2021-11-22,8132.0,8234.0,8014.0,8014.0,311,3038,8208.0,P2208
2021-11-23,8000.0,8000.0,7904.0,7904.0,72,3028,7946.0,P2208
2021-11-24,7910.0,7910.0,7858.0,7858.0,460,3268,7870.0,P2208
2021-11-25,8018.0,8106.0,8018.0,8106.0,10,3272,8084.0,P2208
2021-11-26,8008.0,8008.0,8008.0,8008.0,40,3312,8008.0,P2208
2021-11-30,7930.0,7972.0,7536.0,7590.0,191,3402,7738.0,P2208
