date,open,high,low,close,volume,hold,settle,contract
2026-03-16,8424.0,8602.0,8422.0,8592.0,1790,895,8536.0,Y2703
2026-03-17,8558.0,8558.0,8436.0,8456.0,698,1491,8462.0,Y2703
2026-03-18,8454.0,8472.0,8364.0,8376.0,310,1733,8438.0,Y2703
2026-03-19,8436.0,8504.0,8414.0,8460.0,1399,2604,8458.0,Y2703
2026-03-20,8446.0,8496.0,8404.0,8482.0,583,2964,8442.0,Y2703
2026-03-23,8486.0,8596.0,8464.0,8590.0,961,3551,8540.0,Y2703
2026-03-24,8438.0,8520.0,8400.0,8456.0,1398,4351,8460.0,Y2703
2026-03-25,8450.0,8474.0,8374.0,8390.0,679,4605,8412.0,Y2703
2026-03-26,8396.0,8492.0,8394.0,8492.0,528,4808,8456.0,Y2703
2026-03-27,8510.0,8538.0,8456.0,8532.0,707,5121,8498.0,Y2703
2026-03-30,8556.0,8582.0,8484.0,8574.0,1301,5758,8528.0,Y2703
2026-03-31,8574.0,8632.0,8508.0,8540.0,399,6023,8562.0,Y2703
2026-04-01,8602.0,8660.0,8490.0,8492.0,1756,6890,8578.0,Y2703
2026-04-02,8512.0,8596.0,8470.0,8574.0,559,7082,8538.0,Y2703
2026-04-03,8612.0,8622.0,8536.0,8588.0,327,7198,8588.0,Y2703
2026-04-07,8608.0,8674.0,8596.0,8656.0,426,7236,8626.0,Y2703
2026-04-08,8656.0,8656.0,8322.0,8364.0,1233,7903,8442.0,Y2703
2026-04-09,8336.0,8414.0,8330.0,8390.0,386,8113,8374.0,Y2703
2026-04-10,8412.0,8442.0,8396.0,8401.0,1352,8829,8414.0,Y2703
2026-04-13,8368.0,8427.0,8362.0,8385.0,1366,9566,8392.0,Y2703
2026-04-14,8390.0,8402.0,8323.0,8355.0,1274,10210,8352.0,Y2703
2026-04-15,8346.0,8346.0,8254.0,8314.0,1151,10763,8296.0,Y2703
2026-04-16,8325.0,8352.0,8296.0,8340.0,1183,11353,8322.0,Y2703
2026-04-17,8350.0,8386.0,8316.0,8362.0,1273,11969,8353.0,Y2703
2026-04-20,8358.0,8374.0,8275.0,8372.0,1065,12401,8322.0,Y2703
2026-04-21,8366.0,8472.0,8338.0,8466.0,1984,13316,8400.0,Y2703
2026-04-22,8481.0,8526.0,8462.0,8507.0,1008,13571,8492.0,Y2703
2026-04-23,8526.0,8542.0,8460.0,8494.0,2068,14538,8506.0,Y2703
2026-04-24,8476.0,8505.0,8374.0,8399.0,3186,15740,8453.0,Y2703
2026-04-27,8395.0,8435.0,8374.0,8399.0,1220,16052,8403.0,Y2703
2026-04-28,8385.0,8434.0,8383.0,8425.0,620,16144,8410.0,Y2703
2026-04-29,8414.0,8441.0,8384.0,8433.0,1035,16334,8417.0,Y2703
2026-04-30,8450.0,8485.0,8429.0,8476.0,1528,16607,8464.0,Y2703
2026-05-06,8506.0,8567.0,8492.0,8523.0,1221,16863,8526.0,Y2703
2026-05-07,8504.0,8504.0,8412.0,8442.0,1302,16847,8457.0,Y2703
2026-05-08,8430.0,8430.0,8339.0,8356.0,1339,17185,8383.0,Y2703
2026-05-11,8346.0,8451.0,8346.0,8432.0,1693,17750,8402.0,Y2703
2026-05-12,8435.0,8460.0,8393.0,8423.0,1527,18091,8425.0,Y2703
2026-05-13,8429.0,8456.0,8410.0,8419.0,1174,18369,8430.0,Y2703
2026-05-14,8430.0,8449.0,8381.0,8395.0,1498,18714,8422.0,Y2703
2026-05-15,8372.0,8378.0,8329.0,8329.0,1675,19241,8356.0,Y2703
2026-05-18,8322.0,8388.0,8306.0,8378.0,1500,19589,8357.0,Y2703
2026-05-19,8353.0,8495.0,8353.0,8476.0,1715,19912,8411.0,Y2703
2026-05-20,8488.0,8525.0,8416.0,8476.0,2852,20062,8467.0,Y2703
2026-05-21,8469.0,8485.0,8391.0,8402.0,1586,20000,8429.0,Y2703
2026-05-22,8414.0,8419.0,8355.0,8368.0,1187,20156,8384.0,Y2703
2026-05-25,8350.0,8361.0,8291.0,8327.0,1024,20350,8326.0,Y2703
2026-05-26,8335.0,8369.0,8316.0,8324.0,921,20689,8341.0,Y2703
2026-05-27,8308.0,8375.0,8308.0,8338.0,1033,21093,8356.0,Y2703
2026-05-28,8316.0,8412.0,8313.0,8396.0,1586,21565,8378.0,Y2703
2026-05-29,8414.0,8429.0,8380.0,8399.0,1368,22125,8404.0,Y2703
2026-06-01,8416.0,8467.0,8399.0,8458.0,1265,22449,8434.0,Y2703
2026-06-02,8428.0,8481.0,8417.0,8444.0,1730,22976,8451.0,Y2703
2026-06-03,8433.0,8480.0,8400.0,8475.0,2335,23697,8438.0,Y2703
2026-06-04,8497.0,8520.0,8368.0,8382.0,2867,24798,8444.0,Y2703
2026-06-05,8367.0,8389.0,8293.0,8319.0,2386,25483,8324.0,Y2703
2026-06-08,8325.0,8334.0,8215.0,8262.0,3894,26898,8268.0,Y2703
2026-06-09,8245.0,8249.0,8162.0,8196.0,3092,27732,8205.0,Y2703
2026-06-10,8205.0,8219.0,8165.0,8197.0,3726,29096,8191.0,Y2703
2026-06-11,8206.0,8255.0,8206.0,8238.0,2885,30454,8233.0,Y2703
2026-06-12,8232.0,8256.0,8201.0,8231.0,2979,31764,8232.0,Y2703
2026-06-15,8211.0,8232.0,8164.0,8194.0,2642,32634,8195.0,Y2703
2026-06-16,8169.0,8211.0,8152.0,8199.0,3446,33993,8180.0,Y2703
2026-06-17,8182.0,8257.0,8182.0,8233.0,1887,34648,8229.0,Y2703
2026-06-18,8243.0,8258.0,8171.0,8208.0,2731,35531,8210.0,Y2703
2026-06-22,8233.0,8255.0,8192.0,8205.0,3933,36942,8216.0,Y2703
2026-06-23,8178.0,8244.0,8177.0,8194.0,2667,38062,8207.0,Y2703
2026-06-24,8200.0,8246.0,8190.0,8232.0,2780,39139,8225.0,Y2703
2026-06-25,8215.0,8255.0,8152.0,8204.0,4101,40693,8189.0,Y2703
2026-06-26,8195.0,8291.0,8192.0,8274.0,4203,42414,8258.0,Y2703
2026-06-29,8268.0,8305.0,8268.0,8291.0,4827,44433,8288.0,Y2703
2026-06-30,8305.0,8310.0,8250.0,8266.0,5547,46635,8271.0,Y2703
2026-07-01,8248.0,8273.0,8179.0,8260.0,6761,49034,8226.0,Y2703
2026-07-02,8248.0,8296.0,8248.0,8255.0,3950,50517,8278.0,Y2703
2026-07-03,8275.0,8290.0,8251.0,8262.0,5339,51117,8269.0,Y2703
