date,open,high,low,close,volume,hold,settle,contract
2025-06-17,8270.0,8270.0,8264.0,8264.0,2,2,8266.0,P2606
2025-06-18,8292.0,8292.0,8292.0,8292.0,1,2,8292.0,P2606
2025-06-20,8350.0,8350.0,8340.0,8344.0,3,3,8344.0,P2606
2025-06-24,8208.0,8208.0,8168.0,8168.0,8,10,8188.0,P2606
2025-06-25,8160.0,8198.0,8160.0,8192.0,12,8,8186.0,P2606
2025-06-26,8172.0,8256.0,8152.0,8204.0,10,14,8196.0,P2606
2025-06-27,8226.0,8282.0,8226.0,8234.0,17,22,8258.0,P2606
2025-06-30,8188.0,8204.0,8154.0,8204.0,18,19,8184.0,P2606
2025-07-01,8172.0,8172.0,8172.0,8172.0,2,20,8210.0,P2606
2025-07-02,8216.0,8300.0,8216.0,8300.0,6,23,8262.0,P2606
2025-07-03,8308.0,8328.0,8300.0,8314.0,9,25,8312.0,P2606
2025-07-04,8340.0,8364.0,8310.0,8312.0,11,29,8334.0,P2606
2025-07-07,8300.0,8330.0,8300.0,8310.0,21,33,8312.0,P2606
2025-07-08,8328.0,8438.0,8328.0,8426.0,22,40,8402.0,P2606
2025-07-09,8400.0,8428.0,8386.0,8398.0,19,44,8406.0,P2606
2025-07-10,8378.0,8386.0,8328.0,8384.0,22,50,8368.0,P2606
2025-07-11,8412.0,8498.0,8402.0,8434.0,10,50,8448.0,P2606
2025-07-14,8420.0,8442.0,8408.0,8424.0,7,49,8420.0,P2606
2025-07-15,8486.0,8486.0,8418.0,8418.0,11,50,8452.0,P2606
2025-07-16,8456.0,8456.0,8448.0,8448.0,2,52,8452.0,P2606
2025-07-17,8468.0,8490.0,8442.0,8490.0,4,50,8464.0,P2606
2025-07-18,8544.0,8544.0,8544.0,8544.0,2,50,8544.0,P2606
2025-07-21,8594.0,8598.0,8514.0,8520.0,17,57,8542.0,P2606
2025-07-22,8538.0,8538.0,8522.0,8534.0,6,59,8530.0,P2606
2025-07-23,8526.0,8592.0,8526.0,8574.0,10,58,8552.0,P2606
2025-07-24,8574.0,8656.0,8562.0,8656.0,12,55,8610.0,P2606
2025-07-25,8640.0,8640.0,8564.0,8572.0,18,50,8600.0,P2606
2025-07-28,8572.0,8626.0,8528.0,8624.0,11,49,8572.0,P2606
2025-07-29,8664.0,8686.0,8610.0,8686.0,11,47,8666.0,P2606
